mode,weight,pure,mixed,selection
prob,0.0,0.9924289772727273,0.9639375000000001,0.9710603693181818
prob,0.025,0.9938920454545455,0.9688333333333333,0.9750980113636363
prob,0.05,0.9945028409090909,0.9732875,0.9785913352272727
prob,0.075,0.9947869318181818,0.9770958333333334,0.9815186079545455
prob,0.1,0.9949857954545455,0.9804916666666668,0.9841151988636364
prob,0.15,0.9950284090909091,0.9857958333333334,0.9881039772727274
prob,0.2,0.9950568181818181,0.9893833333333333,0.9908017045454545
prob,0.25,0.9950568181818181,0.9917166666666666,0.9925517045454545
prob,0.3,0.9950568181818181,0.9931958333333334,0.9936610795454546
prob,0.4,0.9950568181818181,0.99435,0.9945267045454544
prob,0.5,0.9950568181818181,0.9944999999999999,0.9946392045454545
logit,0.0,0.9924289772727273,0.9639375000000001,0.9710603693181818
logit,0.025,0.9947159090909091,0.9799958333333334,0.9836758522727274
logit,0.05,0.9951988636363637,0.9881125,0.9898840909090909
logit,0.075,0.9958096590909091,0.9921625000000001,0.9930742897727274
logit,0.1,0.9969318181818182,0.99425,0.9949204545454545
logit,0.15,0.9993181818181818,0.9963125,0.9970639204545455
logit,0.2,0.9999289772727272,0.9974875,0.9980978693181818
logit,0.25,0.9999857954545455,0.9981791666666666,0.9986308238636363
logit,0.3,1.0,0.99865,0.9989875
logit,0.4,1.0,0.9993791666666667,0.9995343750000001
logit,0.5,1.0,0.9995916666666667,0.99969375
