SPLIT,EVAL_CELL,N,FILE_FAKE_PROB_Q10,FILE_FAKE_PROB_MEDIAN,FILE_FAKE_PROB_Q90,VOICE_FAKE_PROB_Q10,VOICE_FAKE_PROB_MEDIAN,VOICE_FAKE_PROB_Q90,MUSIC_FAKE_PROB_Q10,MUSIC_FAKE_PROB_MEDIAN,MUSIC_FAKE_PROB_Q90,VOICE_PRESENT_PROB_Q10,VOICE_PRESENT_PROB_MEDIAN,VOICE_PRESENT_PROB_Q90,MUSIC_PRESENT_PROB_Q10,MUSIC_PRESENT_PROB_MEDIAN,MUSIC_PRESENT_PROB_Q90
all,concurrent__voice_fake__music_fake,25,0.1885245785012299,0.6100751547985805,0.9342123388591332,0.25119146254424674,0.8674134945981541,0.9728601976107922,0.10889708379731579,0.4567556381550924,0.5809103688471248,0.11524048890000002,0.6105589867,0.8051890731,0.70615124702,0.8705130816,0.9175346613400001
all,concurrent__voice_fake__music_real,25,0.03420785243739227,0.3135763479495698,0.827241853144043,0.058151192460555404,0.8506224584704557,0.95809759990815,0.007887437135345262,0.1083156825737595,0.42549419476334693,0.17548624576000005,0.5744946003,0.7777349114800001,0.8115761399,0.8808624148,0.91986595394
all,concurrent__voice_real__music_fake,25,0.14469489193058618,0.5669240325770162,0.7875680521970244,0.007948950304897605,0.5816476788464742,0.9086420195914975,0.12165306513848965,0.3933744047047466,0.7104195666052602,0.27459305526000005,0.6767566204,0.8378080487199999,0.5475404620000001,0.8727535009,0.92381705046
all,concurrent__voice_real__music_real,25,0.06511224716261564,0.4286545696631372,0.8900513189365913,0.00160140315435756,0.514742205427173,0.8983907442303888,0.007636930739116643,0.1696621134371118,0.48729967895874626,0.35653352144,0.7195736766,0.83924564126,0.7538479566399999,0.8713593483,0.92408472304
all,music_only__music_fake,25,0.2496342351973493,0.6820757056922251,0.8406639311035634,0.34129229144459,0.8472382500538059,0.9827045758180135,0.20442212439471227,0.548158157873878,0.7817721990604928,0.030904254699999998,0.0525495857,0.16871832010000004,0.7696993708400001,0.9012128115,0.93990952966
all,music_only__music_real,25,0.11013081054039342,0.3333242617270984,0.561090079349103,0.03009840629391019,0.6521957431566279,0.8824770807699412,0.018414553791844444,0.2377634075476077,0.4810919856284922,0.02356092334,0.0417702608,0.13883359132000003,0.6087991714200001,0.8405728936,0.90644373894
all,partial_overlap__voice_fake__music_fake,25,0.4143264049124045,0.8050946412840743,0.9731974958047805,0.6866660195492459,0.8697452193639341,0.9640559540747443,0.2872204163980703,0.5191929012572438,0.8562452429168637,0.52565033434,0.7364904284,0.84407161474,0.78298356534,0.8856488466,0.92685595746
all,partial_overlap__voice_fake__music_real,25,0.5804417885252146,0.8747289230915753,0.9522463560001454,0.6920855726086023,0.8782616582522397,0.9557105912415946,0.0927710203775123,0.3674846537509461,0.5725559949218836,0.63098305468,0.7880802751,0.8288999795800001,0.7608789921,0.8712516427,0.91674979922
all,partial_overlap__voice_real__music_fake,25,0.5938007796347662,0.8328551045436082,0.8884520762622694,0.4378250437109368,0.6763711804553695,0.9185318209046108,0.22026952754390153,0.5299231395917073,0.8601706763743995,0.56936433314,0.7469850183,0.8590859532,0.7819234252,0.8930764198,0.9265933871200001
all,partial_overlap__voice_real__music_real,25,0.21545041766959758,0.557774984847693,0.8610804276268527,0.17878376874944268,0.7156051723564966,0.9153387961271063,0.08757346261756319,0.2743969655144982,0.7214844505166984,0.46220415232,0.7738624215,0.85841037034,0.8138306141,0.8771158457,0.91268571614
