MODEL,AXIS,GROUP,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
identity,VOICE_GENERATOR_V57,absent,561,561,0,561,0.06773640061006608,,0.07130147432638534,,,,,,0.9309266967463142
identity,VOICE_GENERATOR_V57,bonafide,1275,1275,1275,1250,0.24,,0.13119999999999998,,1.0,,,,0.8008
identity,VOICE_GENERATOR_V57,cosyvoice3_0.5b,43,43,43,37,,,0.18823529411764708,,1.0,,,,0.8117647058823529
identity,VOICE_GENERATOR_V57,f5tts_v1_base,42,42,42,39,,,0.17857142857142855,,1.0,,,,0.8214285714285714
identity,VOICE_GENERATOR_V57,qwen3tts_custom_0.6b,47,47,47,38,,,0.34523809523809523,,1.0,,,,0.6547619047619048
identity,VOICE_GENERATOR_V57,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.25,,1.0,,,,0.75
identity,VOICE_GENERATOR_V57,real_unspecified,720,720,720,600,0.2195238095238095,,0.16000000000000003,,0.998263888888889,,,,0.802797619047619
identity,VOICE_GENERATOR_V57,unknown_fake,746,746,746,600,,,0.16333333333333333,,0.9996689497716894,,,,0.8366666666666667
identity,MUSIC_GENERATOR_V57,FMA,1100,1100,1100,1100,0.1527272727272727,0.14181818181818184,,,,,,,0.8503896103896105
identity,MUSIC_GENERATOR_V57,MusicGen_medium,192,192,192,192,,0.14583333333333337,,,,,,,0.8541666666666666
identity,MUSIC_GENERATOR_V57,absent,316,316,316,0,0.04752974389997983,0.05682597297842307,,,,,,,0.9498141906490364
identity,MUSIC_GENERATOR_V57,audioldm2,192,192,192,192,,0.20833333333333337,,,,,,,0.7916666666666666
identity,MUSIC_GENERATOR_V57,musicldm,194,194,194,194,,0.1649484536082474,,,,,,,0.8350515463917526
identity,MUSIC_GENERATOR_V57,mustango,192,192,192,192,,0.125,,,,,,,0.875
identity,MUSIC_GENERATOR_V57,real,175,175,150,175,0.28,0.28,,1.0,,,,,0.7200000000000001
identity,MUSIC_GENERATOR_V57,real_unspecified,856,856,600,856,0.2802877697841727,0.2733333333333333,,0.9821223958333334,,,,,0.7216992120589244
identity,MUSIC_GENERATOR_V57,stable_audio_open,60,60,60,60,,0.30000000000000004,,,,,,,0.6999999999999998
identity,MUSIC_GENERATOR_V57,suno,148,148,143,148,,0.06996086105675149,,1.0,,,,,0.9300391389432485
identity,MUSIC_GENERATOR_V57,udio,150,150,147,150,,0.18376623376623377,,0.997732426303855,,,,,0.8162337662337662
identity,MUSIC_GENERATOR_V57,unknown_fake,855,855,600,855,,0.22999999999999998,,0.9808169934640523,,,,,0.7700000000000001
v1_strict,CELL_V57,FF,925,925,925,925,,,,,,,,,
v1_strict,CELL_V57,FR,925,925,925,925,,,,,,,,,
v1_strict,CELL_V57,RF,925,925,925,925,,,,,,,,,
v1_strict,CELL_V57,RR,925,925,925,925,,,,,,,,,
v1_strict,CELL_V57,not_mixed,877,877,316,561,0.07297034237948011,0.05682597297842307,0.11051728520589733,0.9927852614003023,0.999909745255985,0.9189944486528061,0.9963475033281437,0.9267297541203399,0.9189944486528061
v1_strict,LAYOUT_V57,concurrent,1900,1900,1900,1900,0.1049122807017544,0.12842105263157896,0.10736842105263157,,,0.8896491228070176,,,0.8896491228070176
v1_strict,LAYOUT_V57,music_only,50,50,0,50,0.28,,0.24,,,,,,0.7349999999999999
v1_strict,LAYOUT_V57,partial_overlap,300,300,300,300,0.29333333333333333,0.2666666666666667,0.2866666666666666,,,0.714,,,0.714
v1_strict,LAYOUT_V57,sequential,900,900,900,900,0.16000000000000003,0.17333333333333334,0.1844444444444444,,,0.83,,,0.83
v1_strict,LAYOUT_V57,simultaneous,600,600,600,600,0.18000000000000002,0.25,0.17000000000000004,,,0.809,,,0.809
