MUSIC_GENERATOR,SOURCES,PANNS_FLAGS,DEMUCS_FLAGS,PASSES,MAX_PANNS_VOICE
MusicGen_medium,8,0,0,8,0.04237702861428261
audioldm2,8,0,0,8,0.07809313386678696
stable_audio_open,8,1,0,7,0.5282691717147827
