DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial_eval_1200_v2,1200,1200,1050,1050,0.2793939393939394,0.3219047619047619,0.2380952380952381,0.9562539682539682,0.9577396825396826,0.7244935064935064,0.9569968253968254,0.7477438383838383
phone_factorial_1200_v1,1200,1200,800,800,0.13757142857142857,0.20750000000000002,0.16500000000000004,0.9954124999999999,0.992465625,0.8402142857142858,0.9939390625,0.8555867633928572
yue_cross_component_audit_v1,124,124,108,124,0.21807065217391303,0.3145833333333333,0.16129032258064513,0.9670138888888888,,0.7796609104721832,,
suno_vocals_v1,13,13,13,13,,,,,,,,
