EPOCH,TRAIN_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,1.18077020868659,0.7380827728818801,0.7947889223871367,0.6813766233766234
1,0.6270688193539778,0.76065625,0.8093125,0.712
2,0.4566386554390192,0.7709941313646671,0.8183778731189445,0.7236103896103896
3,0.36241642106324434,0.7757233302411873,0.8175245825602968,0.7339220779220779
4,0.3114176943898201,0.7639023654916512,0.8121943413729128,0.7156103896103896
5,0.2794743888701002,0.7659778138528139,0.8110465367965368,0.7209090909090909
6,0.25544693653161327,0.7739654645949289,0.8197231369820656,0.7282077922077922
7,0.22458194696033995,0.7708598098330243,0.8175118274582562,0.7242077922077923
8,0.21298349453136325,0.7635328927025357,0.8131696815089674,0.7138961038961039
9,0.1947312753647566,0.7575936340445268,0.8091093460111317,0.7060779220779221
10,0.19203925170004368,0.7700577393836321,0.8145830112347968,0.7255324675324675
11,0.17426934440930683,0.7896624922696351,0.8265197897340755,0.7528051948051948
12,0.16658595828339456,0.7785141852195423,0.8185608379715522,0.7384675324675324
13,0.15867602870178718,0.7804825229334158,0.8188871237889096,0.7420779220779221
14,0.15389807031800348,0.7790879522263452,0.8202798005565863,0.7378961038961039
15,0.13984749978408217,0.7719569547515975,0.8176541692434549,0.7262597402597402
16,0.1280487015688171,0.7659331903215832,0.8139702767470626,0.7178961038961039
17,0.1326656550479432,0.7814863365800866,0.822790854978355,0.740181818181818
18,0.12442004183928172,0.7751389919604206,0.8176805813234385,0.7325974025974026
19,0.11901179631240666,0.7955619782003711,0.8257733070500928,0.7653506493506493
20,0.12295182353506486,0.781628903834261,0.8138811842918986,0.7493766233766234
21,0.11015446751068035,0.7857939213564213,0.819769660894661,0.7518181818181818
22,0.11782081527635455,0.7827554692331478,0.8161862631416202,0.7493246753246754
23,0.1104974291442583,0.7795110544217687,0.8144506802721089,0.7445714285714286
24,0.10535805750017364,0.7658268978045765,0.8143291202844776,0.7173246753246754
25,0.10289485837953787,0.7794847067614925,0.8233590239125954,0.7356103896103896
26,0.09625731436535716,0.7724461193568337,0.8126844465058751,0.7322077922077922
27,0.09756242086489995,0.769524273345702,0.8173602350030922,0.7216883116883117
28,0.08909441808549066,0.7722117153679653,0.815696158008658,0.7287272727272727
29,0.09643405390282472,0.7724210923005566,0.8168162105751391,0.728025974025974
30,0.08446367143187672,0.7713316906307978,0.8205594851576994,0.7221038961038961
31,0.08584462713139752,0.7750672735003092,0.8183423392084107,0.7317922077922078
32,0.09168243794701994,0.7604679769635128,0.8104164734075449,0.7105194805194806
33,0.08320624366557847,0.7634358379715522,0.8097547928262214,0.717116883116883
34,0.07927688848382483,0.7687068323541537,0.8107383400329828,0.7266753246753247
