expert_weight,eer
0.0,0.12907768840479134
0.01,0.12907768840479134
0.02,0.12907768840479134
0.03,0.12907768840479134
0.04,0.12813894158002925
0.05,0.12626144793050498
0.06,0.1257920745181239
0.07,0.1248533276933618
0.08,0.1248533276933618
0.09,0.1248533276933618
0.1,0.12438395428098076
0.11,0.12391458086859966
0.12,0.12391458086859966
0.13,0.12344520745621862
0.14,0.12297583404383758
0.15,0.12250646063145648
0.16,0.12203708721907544
0.17,0.1215677138066944
0.18,0.1210983403943133
0.19,0.12062896698193226
0.2,0.12015959356955122
0.21,0.12062896698193226
0.22,0.11969022015717012
0.23,0.12015959356955122
0.24,0.12015959356955122
0.25,0.11922084674478908
0.26,0.11922084674478908
0.27,0.11922084674478908
0.28,0.11828209992002695
0.29,0.11828209992002695
0.3,0.11875147333240804
0.31,0.11828209992002695
0.32,0.1178127265076459
0.33,0.11687397968288377
0.34,0.11734335309526486
0.35000000000000003,0.11734335309526486
0.36,0.11734335309526486
0.37,0.11734335309526486
0.38,0.11828209992002695
0.39,0.1178127265076459
0.4,0.1178127265076459
0.41000000000000003,0.1178127265076459
0.42,0.1178127265076459
0.43,0.1178127265076459
0.44,0.1178127265076459
0.45,0.11875147333240804
0.46,0.11875147333240804
0.47000000000000003,0.12015959356955122
0.48,0.11969022015717012
0.49,0.1210983403943133
0.5,0.1210983403943133
0.51,0.1215677138066944
0.52,0.12203708721907544
0.53,0.12203708721907544
0.54,0.12250646063145648
0.55,0.12250646063145648
0.56,0.12297583404383758
0.5700000000000001,0.12344520745621862
0.58,0.12438395428098076
0.59,0.1253227011057429
0.6,0.12626144793050498
0.61,0.1257920745181239
0.62,0.12720019475526712
0.63,0.12813894158002925
0.64,0.12907768840479134
0.65,0.1295470618171724
0.66,0.13001643522955347
0.67,0.13142455546669662
0.68,0.13283267570383983
0.6900000000000001,0.1361182895905072
0.7000000000000001,0.13893453006479356
0.71,0.14034265030193674
0.72,0.14268951736384206
0.73,0.14597513125050943
0.74,0.14832199831241477
0.75,0.15066886537432006
0.76,0.15207698561146327
0.77,0.1539544792609875
0.78,0.1572400931476549
0.79,0.15958696020956017
0.8,0.16287257409622763
0.81,0.16803568163241925
0.8200000000000001,0.17179066893146772
0.8300000000000001,0.1755456562305162
0.84,0.18117813717908893
0.85,0.18305563082861315
0.86,0.1863412447152806
0.87,0.19244309907623436
0.88,0.19572871296290173
0.89,0.1985449534371881
0.9,0.20558555462290398
0.91,0.21074866215909566
0.92,0.21778926334481152
0.93,0.22389111770576536
0.9400000000000001,0.23093171889148123
0.9500000000000001,0.2356254530152918
0.96,0.24454354785053195
0.97,0.252992269273391
0.98,0.26003287045910695
0.99,0.2694203387067281
1.0,0.2776343183455496
