MUSIC_GENERATOR,SOURCES,PANNS_FLAGS,DEMUCS_FLAGS,PASSES,MAX_PANNS_VOICE
MusicGen_medium,8,0,0,8,0.0461602620780468
audioldm2,8,0,0,8,0.09516661614179611
stable_audio_open,8,1,0,7,0.324331134557724
