EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER
0,0.8166103959083557,0.798912763595581,0.35395219922065735,0.45286564625850334,0.5042687074829932,0.5900000000000001
5,1.174391508102417,1.0610493421554565,2.266842842102051,0.556751700680272,0.4252465986394558,0.46125000000000005
10,2.121464490890503,1.9511584043502808,3.4061217308044434,0.6032312925170068,0.3360374149659863,0.4575
15,0.7298094034194946,0.6414627432823181,1.7669330835342407,0.6939625850340136,0.2658248299319728,0.34624999999999995
20,0.7882894277572632,0.6789519190788269,2.186750650405884,0.711938775510204,0.26737244897959184,0.30874999999999997
25,0.5818386077880859,0.4925547242164612,1.7856782674789429,0.6943962585034014,0.27120748299319725,0.33999999999999997
30,0.603483259677887,0.5011282563209534,2.047100067138672,0.7144005102040817,0.2511989795918367,0.31999999999999995
35,0.4229924976825714,0.34907278418540955,1.4783940315246582,0.7277295918367347,0.23454081632653062,0.31000000000000005
40,0.4355126619338989,0.3628450930118561,1.4533510208129883,0.7343409863945578,0.2246513605442177,0.30666666666666664
45,0.3649699091911316,0.29941603541374207,1.3110777139663696,0.7437329931972789,0.21920068027210884,0.29333333333333333
50,0.3543069362640381,0.2896944582462311,1.2922492027282715,0.7418537414965987,0.21962585034013604,0.29666666666666663
55,0.32537516951560974,0.26927247643470764,1.122053861618042,0.7551403061224491,0.20971938775510204,0.28
60,0.31582948565483093,0.26254764199256897,1.0656369924545288,0.7572236394557823,0.20888605442176872,0.2766666666666666
65,0.2977685332298279,0.24722838401794434,1.0108028650283813,0.7576232993197278,0.20142006802721088,0.2833333333333333
70,0.29012206196784973,0.24131198227405548,0.9762013554573059,0.7578188775510204,0.20436224489795918,0.28
75,0.28158509731292725,0.23466543853282928,0.9383933544158936,0.7592984693877551,0.20140306122448978,0.28
80,0.2731207013130188,0.22826476395130157,0.8971188068389893,0.7552593537414967,0.20281462585034013,0.2866666666666666
85,0.2667241394519806,0.22341541945934296,0.866174578666687,0.7586054421768708,0.19945578231292518,0.2833333333333333
90,0.26125702261924744,0.21925683319568634,0.8400037288665771,0.7634863945578232,0.19636054421768706,0.2766666666666666
95,0.2561894655227661,0.21521039307117462,0.8195817470550537,0.7611352040816326,0.19772959183673472,0.28
100,0.251486212015152,0.2112104892730713,0.8055142164230347,0.763983843537415,0.1953656462585034,0.2766666666666666
105,0.24711786210536957,0.20748105645179749,0.7927359938621521,0.7624362244897959,0.19512755102040819,0.28
110,0.24305258691310883,0.20390725135803223,0.7829065918922424,0.7670110544217688,0.19264455782312925,0.2733333333333333
115,0.23924747109413147,0.20054450631141663,0.7740592360496521,0.7671003401360544,0.19246598639455778,0.2733333333333333
120,0.23565970361232758,0.1973654329776764,0.7658852934837341,0.7684693877551021,0.19306122448979593,0.27
125,0.232255220413208,0.19427762925624847,0.7595516443252563,0.7705527210884353,0.19222789115646258,0.2666666666666667
130,0.22901563346385956,0.1913081705570221,0.7541491389274597,0.7712159863945578,0.19090136054421766,0.2666666666666667
135,0.22592225670814514,0.18846535682678223,0.7491379380226135,0.7701147959183674,0.18977040816326532,0.27
140,0.22296154499053955,0.185719832777977,0.7448341250419617,0.7702040816326531,0.18959183673469387,0.27
145,0.22012180089950562,0.18306832015514374,0.7410695552825928,0.7721088435374149,0.18911564625850344,0.2666666666666667
150,0.21739324927330017,0.180514857172966,0.737567663192749,0.7737967687074829,0.1890731292517007,0.2633333333333333
155,0.2147674262523651,0.1780443638563156,0.7344610691070557,0.7741539115646259,0.18835884353741492,0.2633333333333333
160,0.2122369259595871,0.17566008865833282,0.7315366864204407,0.7760586734693877,0.18788265306122448,0.26
165,0.20979554951190948,0.17335782945156097,0.728754460811615,0.7756505102040816,0.18869897959183674,0.26
170,0.20743770897388458,0.17113004624843597,0.7261532545089722,0.7757397959183674,0.1885204081632653,0.26
175,0.20515871047973633,0.16897378861904144,0.7236984372138977,0.7764540816326531,0.18709183673469387,0.26
180,0.2029539942741394,0.1668846607208252,0.721386730670929,0.7764540816326531,0.18709183673469387,0.26
185,0.20081916451454163,0.16485753655433655,0.7192325592041016,0.7780017006802722,0.1873299319727891,0.2566666666666667
190,0.19875071942806244,0.16289067268371582,0.7172008156776428,0.7788945578231292,0.1855442176870748,0.2566666666666667
195,0.19674469530582428,0.16098256409168243,0.7152426838874817,0.7788945578231292,0.1855442176870748,0.2566666666666667
200,0.19479809701442719,0.15913061797618866,0.7133496403694153,0.7785374149659864,0.18625850340136058,0.2566666666666667
205,0.1929079294204712,0.15733246505260468,0.7115092873573303,0.7780909863945578,0.18715136054421766,0.2566666666666667
210,0.19107162952423096,0.15558572113513947,0.7097181677818298,0.7781802721088436,0.18697278911564627,0.2566666666666667
215,0.18928641080856323,0.15388770401477814,0.7079740166664124,0.7780909863945578,0.18715136054421766,0.2566666666666667
220,0.18754978477954865,0.15223602950572968,0.7062750458717346,0.777733843537415,0.1878656462585034,0.2566666666666667
225,0.18585969507694244,0.15062890946865082,0.7046156525611877,0.7754719387755102,0.18905612244897957,0.26
230,0.18421389162540436,0.14906449615955353,0.702987790107727,0.7732100340136054,0.19024659863945578,0.2633333333333333
235,0.18261036276817322,0.1475410908460617,0.7013853788375854,0.7726743197278911,0.19131802721088434,0.2633333333333333
240,0.18104742467403412,0.1460573673248291,0.6998011469841003,0.7725850340136055,0.1914965986394558,0.2633333333333333
245,0.17952319979667664,0.14461159706115723,0.6982319355010986,0.7721768707482994,0.19231292517006798,0.2633333333333333
250,0.17803625762462616,0.14320217072963715,0.6966816186904907,0.7725340136054422,0.1915986394557823,0.2633333333333333
255,0.17658503353595734,0.14182744920253754,0.6951517462730408,0.772623299319728,0.1914200680272109,0.2633333333333333
260,0.17516815662384033,0.1404860019683838,0.6936429738998413,0.7737457482993197,0.18917517006802717,0.2633333333333333
265,0.1737840622663498,0.1391764134168625,0.6921529769897461,0.7707695578231292,0.19179421768707483,0.2666666666666667
270,0.17243191599845886,0.13789792358875275,0.6906799674034119,0.7688647959183673,0.19227040816326532,0.27
275,0.17111019790172577,0.1366489976644516,0.6892239451408386,0.7688647959183673,0.19227040816326532,0.27
280,0.16981790959835052,0.1354287713766098,0.6877827644348145,0.7693112244897959,0.19137755102040815,0.27
285,0.16855387389659882,0.13423609733581543,0.6863555908203125,0.7693112244897959,0.19137755102040815,0.27
290,0.16731718182563782,0.13307003676891327,0.6849429607391357,0.7674064625850341,0.19185374149659865,0.2733333333333333
295,0.16610677540302277,0.1319296807050705,0.6835418939590454,0.7674064625850341,0.19185374149659865,0.2733333333333333
300,0.16492174565792084,0.13081412017345428,0.682152509689331,0.7674957482993197,0.1916751700680272,0.2733333333333333
305,0.16376124322414398,0.129722461104393,0.6807757019996643,0.7674957482993197,0.1916751700680272,0.2733333333333333
