TASK,MODE,WEIGHT,SELECTION,MAX_BANK_REGRESSION,EER_yue_cross_component_audit_v1:truth
FILE,logit,0.5,0.8138586956521738,-0.12771739130434778,0.1861413043478261
VOICE,logit,0.3,0.8708333333333333,-0.018750000000000044,0.12916666666666665
MUSIC,logit,0.5,0.9193548387096774,-0.16129032258064516,0.08064516129032259
