DATASET,AXIS,EXPERT_WEIGHT,EER,clean_EER,g711_ulaw_EER,g722_wb_EER,opus_nb_8k_EER,transcode_g711_opus_EER
codec_dev_v4,VOICE,0.0,0.29666666666666663,0.19999999999999998,0.16666666666666663,0.19999999999999998,0.44999999999999996,0.44999999999999996
codec_dev_v4,VOICE,0.1,0.2833333333333333,0.18333333333333335,0.1333333333333333,0.19999999999999998,0.44999999999999996,0.43333333333333335
codec_dev_v4,VOICE,0.2,0.28,0.16666666666666663,0.1333333333333333,0.16666666666666663,0.4666666666666667,0.43333333333333335
codec_dev_v4,VOICE,0.3,0.2733333333333333,0.16666666666666663,0.11666666666666668,0.16666666666666663,0.4666666666666667,0.43333333333333335
codec_dev_v4,VOICE,0.4,0.26,0.15000000000000002,0.11666666666666668,0.15000000000000002,0.44999999999999996,0.43333333333333335
codec_dev_v4,VOICE,0.5,0.25,0.1333333333333333,0.11666666666666668,0.15000000000000002,0.41666666666666663,0.43333333333333335
codec_dev_v4,VOICE,0.6,0.2366666666666667,0.15000000000000002,0.09999999999999999,0.11666666666666668,0.3833333333333333,0.3833333333333333
codec_dev_v4,VOICE,0.7,0.21999999999999997,0.11666666666666668,0.09999999999999999,0.08333333333333334,0.3666666666666667,0.3666666666666667
codec_dev_v4,VOICE,0.8,0.20999999999999996,0.1333333333333333,0.09999999999999999,0.06666666666666665,0.3666666666666667,0.3833333333333333
codec_dev_v4,VOICE,0.9,0.20999999999999996,0.11666666666666668,0.09999999999999999,0.08333333333333334,0.3666666666666667,0.35
codec_dev_v4,VOICE,0.95,0.20333333333333337,0.11666666666666668,0.08333333333333334,0.09999999999999999,0.3666666666666667,0.35
codec_dev_v4,VOICE,1.0,0.20666666666666667,0.11666666666666668,0.09999999999999999,0.09999999999999999,0.35,0.31666666666666665
codec_dev_v4,FILE,0.0,0.2788888888888889,0.1333333333333333,0.2666666666666667,0.1611111111111111,0.4,0.3277777777777777
codec_dev_v4,FILE,0.1,0.2611111111111111,0.1333333333333333,0.2333333333333333,0.1333333333333333,0.4,0.30000000000000004
codec_dev_v4,FILE,0.2,0.2533333333333333,0.1333333333333333,0.20555555555555557,0.1388888888888889,0.3666666666666667,0.33333333333333337
codec_dev_v4,FILE,0.3,0.2333333333333333,0.09999999999999999,0.19999999999999998,0.1388888888888889,0.3666666666666667,0.3277777777777777
codec_dev_v4,FILE,0.4,0.21999999999999997,0.09999999999999999,0.19999999999999998,0.1333333333333333,0.33333333333333337,0.30000000000000004
codec_dev_v4,FILE,0.5,0.2211111111111111,0.09999999999999999,0.19444444444444445,0.10555555555555558,0.33333333333333337,0.30000000000000004
codec_dev_v4,FILE,0.6,0.21333333333333337,0.09999999999999999,0.19444444444444445,0.09999999999999999,0.33333333333333337,0.30000000000000004
codec_dev_v4,FILE,0.7,0.21999999999999997,0.06666666666666665,0.19999999999999998,0.09999999999999999,0.3388888888888889,0.30000000000000004
codec_dev_v4,FILE,0.8,0.21999999999999997,0.06666666666666665,0.19999999999999998,0.12777777777777777,0.33333333333333337,0.30000000000000004
codec_dev_v4,FILE,0.9,0.2333333333333333,0.06666666666666665,0.22777777777777777,0.09999999999999999,0.33333333333333337,0.30000000000000004
codec_dev_v4,FILE,0.95,0.24,0.06666666666666665,0.22777777777777777,0.09999999999999999,0.36111111111111105,0.30000000000000004
codec_dev_v4,FILE,1.0,0.23888888888888887,0.06666666666666665,0.22777777777777777,0.09999999999999999,0.3666666666666667,0.3055555555555556
blind_v5_retrospective,VOICE,0.0,0.21666666666666667,0.08333333333333334,0.125,0.041666666666666644,0.41666666666666663,0.375
blind_v5_retrospective,VOICE,0.1,0.19999999999999998,0.041666666666666644,0.08333333333333334,0.041666666666666644,0.33333333333333337,0.33333333333333337
blind_v5_retrospective,VOICE,0.2,0.19166666666666665,0.041666666666666644,0.08333333333333334,0.0,0.33333333333333337,0.33333333333333337
blind_v5_retrospective,VOICE,0.3,0.16666666666666663,0.041666666666666644,0.08333333333333334,0.0,0.33333333333333337,0.33333333333333337
blind_v5_retrospective,VOICE,0.4,0.16666666666666663,0.041666666666666644,0.08333333333333334,0.0,0.29166666666666663,0.33333333333333337
blind_v5_retrospective,VOICE,0.5,0.15833333333333333,0.041666666666666644,0.08333333333333334,0.0,0.29166666666666663,0.33333333333333337
blind_v5_retrospective,VOICE,0.6,0.1416666666666667,0.041666666666666644,0.041666666666666644,0.0,0.29166666666666663,0.33333333333333337
blind_v5_retrospective,VOICE,0.7,0.1333333333333333,0.041666666666666644,0.041666666666666644,0.0,0.25,0.29166666666666663
blind_v5_retrospective,VOICE,0.8,0.1333333333333333,0.041666666666666644,0.041666666666666644,0.0,0.25,0.29166666666666663
blind_v5_retrospective,VOICE,0.9,0.11666666666666668,0.041666666666666644,0.041666666666666644,0.0,0.25,0.29166666666666663
blind_v5_retrospective,VOICE,0.95,0.11666666666666668,0.041666666666666644,0.041666666666666644,0.0,0.20833333333333337,0.25
blind_v5_retrospective,VOICE,1.0,0.11666666666666668,0.041666666666666644,0.041666666666666644,0.041666666666666644,0.20833333333333337,0.25
blind_v5_retrospective,FILE,0.0,0.21944444444444444,0.09722222222222224,0.2638888888888889,0.08333333333333334,0.33333333333333337,0.33333333333333337
blind_v5_retrospective,FILE,0.1,0.21944444444444444,0.09722222222222224,0.2638888888888889,0.08333333333333334,0.33333333333333337,0.33333333333333337
blind_v5_retrospective,FILE,0.2,0.2333333333333333,0.08333333333333334,0.2638888888888889,0.08333333333333334,0.33333333333333337,0.3194444444444444
blind_v5_retrospective,FILE,0.3,0.21944444444444444,0.08333333333333334,0.2638888888888889,0.08333333333333334,0.33333333333333337,0.3194444444444444
blind_v5_retrospective,FILE,0.4,0.21666666666666667,0.08333333333333334,0.25,0.08333333333333334,0.33333333333333337,0.2638888888888889
blind_v5_retrospective,FILE,0.5,0.21666666666666667,0.08333333333333334,0.18055555555555552,0.08333333333333334,0.33333333333333337,0.2638888888888889
blind_v5_retrospective,FILE,0.6,0.23055555555555554,0.09722222222222224,0.18055555555555552,0.08333333333333334,0.33333333333333337,0.3194444444444444
blind_v5_retrospective,FILE,0.7,0.2027777777777778,0.09722222222222224,0.25,0.08333333333333334,0.3194444444444444,0.2638888888888889
blind_v5_retrospective,FILE,0.8,0.21944444444444444,0.15277777777777773,0.2638888888888889,0.08333333333333334,0.33333333333333337,0.2638888888888889
blind_v5_retrospective,FILE,0.9,0.2333333333333333,0.15277777777777773,0.2638888888888889,0.08333333333333334,0.33333333333333337,0.3194444444444444
blind_v5_retrospective,FILE,0.95,0.2333333333333333,0.16666666666666663,0.25,0.15277777777777773,0.33333333333333337,0.3194444444444444
blind_v5_retrospective,FILE,1.0,0.25,0.18055555555555552,0.3194444444444444,0.18055555555555552,0.3194444444444444,0.3194444444444444
