DATASET,PHONE_COUNT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,67.0,400,400,350,350,0.25527272727272726,0.22285714285714286,0.22857142857142854,0.9928,0.9989142857142856,0.7592207792207792,0.9958571428571428,0.7828844155844156
phone,1200.0,1200,1200,800,800,0.14585714285714285,0.16749999999999998,0.10750000000000001,0.956603125,0.9840593750000001,0.8613214285714286,0.9703312500000001,0.8722224107142857
yue,0.0,124,124,108,124,0.25,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8061962365591397,,
factorial_plus_phone,,1600,1600,1150,1150,0.17255384615384614,0.18956521739130439,0.14608695652173911,0.9602415458937198,0.9882376811594205,0.8319839464882943,0.9742396135265701,0.8462095131921219
