W_seed00_fixedteacher_lr1e4,W_seed00_ch01,W_seed01_ch01,W_seed02_ch01,dev_ADS,dev_DELTA,factorial_ADS,factorial_DELTA,phone_ADS,phone_DELTA,yue_ADS,yue_DELTA,MIN_DELTA,MEAN_DELTA,mixfake_EXPERT_ADS,mixfake_DELTA_VS_UNIFORM,external_EXPERT_ADS,external_DELTA_VS_UNIFORM,source_EXPERT_ADS,source_DELTA_VS_UNIFORM,equal_EXPERT_ADS,equal_DELTA_VS_UNIFORM,factorial_dev_EXPERT_ADS,factorial_dev_DELTA_VS_UNIFORM,telephone_dev_EXPERT_ADS,telephone_dev_DELTA_VS_UNIFORM,GENERAL_MIN_DELTA,GENERAL_MEAN_DELTA
0.0,0.125,0.125,0.75,0.7762077922077922,0.0219220779220779,0.7889870129870129,0.011480519480519424,0.8783928571428572,0.05428571428571427,0.8667595839177186,0.015386716923796229,0.011480519480519424,0.025768757153026955,0.9530000000000001,-0.002874999999999961,0.839,-0.007000000000000006,0.8566666666666667,-0.004333333333333411,0.8400000000000001,-0.009000000000000008,0.7477922077922077,0.007610389610389512,0.8013333333333333,-0.010444444444444478,-0.010444444444444478,-0.0043403980278980585
0.0,0.25,0.125,0.625,0.7779220779220779,0.023636363636363567,0.7877922077922078,0.010285714285714342,0.8764285714285716,0.05232142857142863,0.8667595839177186,0.015386716923796229,0.010285714285714342,0.025407555854325692,0.95225,-0.0036249999999999893,0.833,-0.013000000000000012,0.8566666666666667,-0.004333333333333411,0.8416666666666667,-0.007333333333333414,0.7495064935064935,0.009324675324675291,0.8056666666666666,-0.006111111111111178,-0.013000000000000012,-0.004179683742183786
0.375,0.25,0.0,0.375,0.7636363636363637,0.009350649350649332,0.7866493506493506,0.00914285714285712,0.8630714285714285,0.03896428571428556,0.8715982935951379,0.020225426601215513,0.00914285714285712,0.01942080470225188,0.956375,0.0004999999999999449,0.8438333333333333,-0.00216666666666665,0.8663333333333334,0.005333333333333301,0.8700000000000001,0.02100000000000002,0.7252987012987013,-0.014883116883116831,0.8066666666666666,-0.005111111111111177,-0.014883116883116831,0.0007787397787397676
0.375,0.375,0.0,0.25,0.7636363636363637,0.009350649350649332,0.7866493506493506,0.00914285714285712,0.8640714285714286,0.039964285714285674,0.8610684022907902,0.009695535296867841,0.00914285714285712,0.01703833187616499,0.95675,0.0008749999999999591,0.8425,-0.0034999999999999476,0.8626666666666667,0.0016666666666665941,0.8700000000000001,0.02100000000000002,0.7226753246753247,-0.01750649350649347,0.8056666666666666,-0.006111111111111178,-0.01750649350649347,-0.0005959896584896707
0.0,0.25,0.0,0.75,0.7777402597402598,0.023454545454545506,0.7857402597402597,0.00823376623376626,0.8798928571428573,0.05578571428571433,0.8619769752220664,0.01060410822814406,0.00823376623376626,0.024519533550542538,0.949875,-0.006000000000000005,0.8268333333333333,-0.019166666666666665,0.8623333333333334,0.0013333333333332975,0.8390000000000001,-0.010000000000000009,0.7372987012987012,-0.002883116883116932,0.7993333333333333,-0.01244444444444448,-0.019166666666666665,-0.008193482443482466
0.125,0.125,0.625,0.125,0.764961038961039,0.010675324675324616,0.7857402597402597,0.00823376623376626,0.8673928571428572,0.04328571428571426,0.8715982935951379,0.020225426601215513,0.00823376623376626,0.020605057949005162,0.9535,-0.002375000000000016,0.842,-0.0040000000000000036,0.8580000000000001,-0.0030000000000000027,0.8463333333333334,-0.002666666666666706,0.744,0.0038181818181818317,0.8072222222222222,-0.004555555555555646,-0.004555555555555646,-0.0021298400673400906
0.25,0.0,0.5,0.25,0.7638181818181818,0.009532467532467503,0.7857402597402597,0.00823376623376626,0.8651785714285714,0.041071428571428426,0.8667595839177186,0.015386716923796229,0.00823376623376626,0.018556094815364604,0.9568333333333332,0.0009583333333331723,0.8476666666666668,0.0016666666666668162,0.8606666666666667,-0.00033333333333340764,0.8460000000000001,-0.0030000000000000027,0.7282077922077922,-0.01197402597402597,0.8043333333333333,-0.007444444444444476,-0.01197402597402597,-0.0033544672919673113
0.375,0.125,0.0,0.5,0.7624935064935064,0.008207792207792108,0.7866493506493506,0.00914285714285712,0.8628214285714286,0.0387142857142857,0.8715982935951379,0.020225426601215513,0.008207792207792108,0.01907259041653761,0.9562499999999999,0.0003749999999999032,0.8574999999999999,0.011499999999999955,0.8560000000000001,-0.0050000000000000044,0.8720000000000001,0.02300000000000002,0.7224415584415584,-0.017740259740259723,0.8006666666666666,-0.011111111111111183,-0.017740259740259723,0.00017060485810482806
0.5,0.25,0.0,0.25,0.7624935064935064,0.008207792207792108,0.7877922077922077,0.010285714285714231,0.8630714285714285,0.03896428571428556,0.8610684022907902,0.009695535296867841,0.008207792207792108,0.016788331876164936,0.956625,0.0007499999999999174,0.848,0.0020000000000000018,0.8610000000000001,0.0,0.8700000000000001,0.02100000000000002,0.7215324675324676,-0.018649350649350582,0.8033333333333333,-0.008444444444444477,-0.018649350649350582,-0.0005572991822991868
0.0,0.625,0.25,0.125,0.7723896103896104,0.018103896103896067,0.7856883116883115,0.008181818181818068,0.8744285714285716,0.05032142857142863,0.8667595839177186,0.015386716923796229,0.008181818181818068,0.022998464945234748,0.9489583333333333,-0.006916666666666682,0.8345,-0.011499999999999955,0.86,-0.001000000000000112,0.8466666666666667,-0.0023333333333334094,0.751038961038961,0.010857142857142787,0.805,-0.0067777777777777715,-0.011499999999999955,-0.002945105820105857
0.125,0.375,0.25,0.25,0.7666753246753246,0.012389610389610284,0.7855064935064935,0.008000000000000007,0.8678928571428571,0.043785714285714206,0.8715982935951379,0.020225426601215513,0.008000000000000007,0.021100187819135002,0.9538749999999999,-0.002000000000000113,0.8411666666666667,-0.004833333333333245,0.8596666666666667,-0.0013333333333334085,0.8460000000000001,-0.0030000000000000027,0.739038961038961,-0.0011428571428571122,0.8075555555555555,-0.004222222222222349,-0.004833333333333245,-0.0027552910052910384
0.125,0.25,0.375,0.25,0.7666753246753246,0.012389610389610284,0.7855064935064935,0.008000000000000007,0.8671428571428572,0.04303571428571429,0.8715982935951379,0.020225426601215513,0.008000000000000007,0.020912687819135023,0.954,-0.001875000000000071,0.8446666666666667,-0.0013333333333332975,0.8626666666666667,0.0016666666666665941,0.8460000000000001,-0.0030000000000000027,0.7451428571428571,0.004961038961038944,0.8093333333333333,-0.0024444444444444713,-0.0030000000000000027,-0.00033751202501205074
0.25,0.5,0.0,0.25,0.7647792207792208,0.010493506493506444,0.7855064935064935,0.008000000000000007,0.8683928571428572,0.04428571428571426,0.8715982935951379,0.020225426601215513,0.008000000000000007,0.020751161845109056,0.95475,-0.0011250000000000426,0.8383333333333334,-0.0076666666666665995,0.8626666666666667,0.0016666666666665941,0.8700000000000001,0.02100000000000002,0.7302597402597402,-0.009922077922077999,0.8054444444444444,-0.006333333333333413,-0.009922077922077999,-0.00039673520923524014
0.125,0.125,0.5,0.25,0.7637662337662338,0.009480519480519423,0.7855064935064935,0.008000000000000007,0.8666428571428573,0.04253571428571434,0.8715982935951379,0.020225426601215513,0.008000000000000007,0.02006041509186232,0.9561666666666666,0.00029166666666657903,0.8433333333333333,-0.002666666666666706,0.8610000000000001,0.0,0.8460000000000001,-0.0030000000000000027,0.7506753246753247,0.010493506493506555,0.8104444444444444,-0.0013333333333334085,-0.0030000000000000027,0.0006308621933621694
0.25,0.25,0.25,0.25,0.7632467532467533,0.008961038961038947,0.7855064935064935,0.008000000000000007,0.8664285714285715,0.04232142857142862,0.8715982935951379,0.020225426601215513,0.008000000000000007,0.019876973533420772,0.955875,0.0,0.846,0.0,0.8610000000000001,0.0,0.8490000000000001,0.0,0.7401818181818182,0.0,0.8117777777777778,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.7722077922077921,0.017922077922077784,0.7853506493506494,0.007844155844155876,0.8819285714285714,0.05782142857142847,0.8668156848994857,0.015442817905563344,0.007844155844155876,0.024757620060806368,0.9468333333333334,-0.009041666666666615,0.8403333333333334,-0.005666666666666598,0.8433333333333334,-0.01766666666666672,0.8173333333333334,-0.03166666666666673,0.7352467532467533,-0.004935064935064903,0.8005555555555556,-0.011222222222222245,-0.03166666666666673,-0.013366492303992302
0.25,0.375,0.125,0.25,0.7621038961038961,0.007818181818181724,0.7855064935064935,0.008000000000000007,0.8664285714285715,0.04232142857142862,0.8610684022907902,0.009695535296867841,0.007818181818181724,0.01695878642161955,0.95525,-0.0006249999999999867,0.8416666666666668,-0.004333333333333189,0.8610000000000001,0.0,0.8526666666666667,0.003666666666666596,0.7352207792207792,-0.004961038961038944,0.809,-0.002777777777777768,-0.004961038961038944,-0.0015050805675805485
0.25,0.25,0.125,0.375,0.7621038961038961,0.007818181818181724,0.7855064935064935,0.008000000000000007,0.8661785714285715,0.04207142857142854,0.8610684022907902,0.009695535296867841,0.007818181818181724,0.016896286421619527,0.9538749999999999,-0.002000000000000113,0.85,0.0040000000000000036,0.8596666666666667,-0.0013333333333334085,0.8496666666666667,0.0006666666666665932,0.7384675324675325,-0.0017142857142856682,0.8127777777777778,0.0010000000000000009,-0.002000000000000113,0.00010317460317456802
0.125,0.0,0.375,0.5,0.7620519480519481,0.007766233766233754,0.7866493506493506,0.00914285714285712,0.8664285714285715,0.04232142857142862,0.8667595839177186,0.015386716923796229,0.007766233766233754,0.01865430910107893,0.9555833333333332,-0.0002916666666668011,0.845,-0.0010000000000000009,0.8660000000000001,0.0050000000000000044,0.8450000000000001,-0.0040000000000000036,0.7434285714285714,0.0032467532467532756,0.807,-0.00477777777777777,-0.00477777777777777,-0.00030378186628188253
