ID,ORIGINAL_RMS,VOICE_RMS,MUSIC_RMS,VOICE_ENERGY_RATIO,MUSIC_ENERGY_RATIO,VOICE_STEM_SHARE,MUSIC_STEM_SHARE,RECONSTRUCTION_ERROR,VOICE_DOMINANT_FRACTION,MUSIC_DOMINANT_FRACTION,VOICE_FRAME_RATIO_Q50,VOICE_FRAME_RATIO_Q75,VOICE_FRAME_RATIO_Q90,VOICE_FRAME_RATIO_Q100,MUSIC_FRAME_RATIO_Q50,MUSIC_FRAME_RATIO_Q75,MUSIC_FRAME_RATIO_Q90,MUSIC_FRAME_RATIO_Q100
sdm_fake_0000__phonefact_g726_24k,0.09289954518458692,0.08241897065856699,0.032427390242334195,0.787095069502037,0.1218419428435633,0.8659511591865358,0.1340488280655533,0.011306414415190995,0.9148936170212766,0.0851063829787234,0.9061703890090087,0.97090807259762,0.9820554328324268,0.9855351302649278,0.21809901676919527,0.5052007892825423,0.6143216037491382,0.8282166111338877
sdm_fake_0001__phonefact_g726_24k,0.06464670949113423,0.061920312871653484,0.011709653732659472,0.91743103048627,0.03280917020231595,0.9654727370191117,0.03452723779984453,0.013212118009989943,0.9787234042553191,0.02127659574468085,0.973518546398978,0.9879348109631307,0.993033335206537,0.9960032198719014,0.1340258621386056,0.2501719387408358,0.34839633532299175,0.6010040317933578
sdm_fake_0002__phonefact_g726_24k,0.07779437999342809,0.07564507059034847,0.014487853783752884,0.9455071339546484,0.03468260051384369,0.9646164255417908,0.03538355760070074,0.011326952966321035,0.7872340425531915,0.2127659574468085,0.984527121827302,0.9914558928881934,0.9945102725530418,0.9962160791842181,0.0894326444557066,0.39612344831029034,0.9708254050998354,0.9883735002082432
sdm_fake_0003__phonefact_g726_24k,0.20196740448372255,0.19729051529289596,0.03054076675638116,0.9542229213887058,0.022866374016221505,0.9765974547895293,0.023402542701456076,0.006737681232670013,1.0,0.0,0.9793062790391323,0.9866394041986285,0.9907524784231543,0.9937687440938892,0.11510557710799191,0.23819006661880665,0.30060022618582816,0.4958594838474165
sdm_fake_0004__phonefact_g726_24k,0.05775305823538748,0.044817713797595894,0.025143826270449546,0.6022120086618789,0.1895451813780165,0.7606018529844047,0.2393981091488496,0.029998531389844,0.8936170212765957,0.10638297872340426,0.783244722078661,0.8255707982299894,0.8533267234590765,0.8806801799728163,0.4121504968263306,0.5052173208452937,0.6309659141203176,0.959732699511049
sdm_fake_0005__phonefact_g726_24k,0.058369185331117436,0.05524485296941177,0.013732731532512567,0.8958109519802911,0.05535369079219644,0.9418042724187352,0.05819569672260848,0.009273606323853472,0.9574468085106383,0.0425531914893617,0.944064010686364,0.9692504827159447,0.9821139056173335,0.9940798897633443,0.24271378944574887,0.344405127499013,0.49691555969107853,0.790125271848415
sdm_fake_0006__phonefact_g726_24k,0.20453625426974936,0.1772765770712182,0.07991081846805025,0.7512113092834223,0.15264077415855196,0.8311219513220118,0.16887804603337572,0.012198546541949887,0.7446808510638298,0.2553191489361702,0.9049134909348189,0.9307504972539813,0.949715158309218,0.9707933507879164,0.29874105202951967,0.6364865727151521,0.922823744900407,0.9862877822785034
sdm_fake_0007__phonefact_g726_24k,0.07457051413268125,0.06365409330837683,0.03255008710862375,0.728649028591313,0.19053292194994673,0.792714667544052,0.2072853128916523,0.010707148057111081,0.7021276595744681,0.2978723404255319,0.8196649785094581,0.9274965584608339,0.9580934440919879,0.9717932763560552,0.4406620512050886,0.6951084087058284,0.9344915896664665,0.9942006350916222
sdm_fake_0008__phonefact_g726_24k,0.16868047304417902,0.15318185565843617,0.05117819520905396,0.8246791802068923,0.09205350112272026,0.8995852267960497,0.10041476937016607,0.017135410080631058,1.0,0.0,0.9188172032806141,0.9276753013497464,0.9369826194028418,0.9525030357660075,0.2791114880939383,0.34710991685901615,0.4184642872146067,0.5469961529816858
sdm_fake_0009__phonefact_g726_24k,0.06294647806547322,0.05915591967247214,0.017430714039698897,0.8831887705750866,0.07668094804822453,0.9201131468339931,0.07988682687272392,0.008775649717667254,0.8085106382978723,0.19148936170212766,0.8976023792330948,0.9623804373196856,0.9755671238734838,0.9905982139819868,0.3482816058975057,0.6137885328856232,0.8442940781509491,0.987680816912757
sdm_fake_0010__phonefact_g726_24k,0.16805961849848777,0.14320660236958277,0.07235606564616211,0.726104843768752,0.18536303855655017,0.7966323937776147,0.2033676023379142,0.012495966721471623,0.7872340425531915,0.2127659574468085,0.874185876743986,0.9596067105030113,0.9760848782373543,0.9855708827033519,0.36761364365735594,0.5257517007214683,0.9749739074044834,0.9870395661819369
sdm_fake_0011__phonefact_g726_24k,0.053991617968425755,0.04454514528452344,0.02693622826243887,0.6806879463975262,0.24889769122304048,0.7322487501212426,0.26775121297607973,0.009436035854642333,0.48936170212765956,0.5106382978723404,0.6890677092361864,0.8802933022746005,0.9408554473607398,0.9665785165472052,0.6259408540976059,0.9909928597440946,0.9967981214209556,0.9980967498616535
sdm_fake_0012__phonefact_g726_24k,0.12133247813717508,0.11911687990532766,0.016039340942496316,0.9638123338863127,0.017475069013528848,0.9821916844813521,0.017808308596360376,0.006916802724316195,0.8936170212765957,0.10638297872340426,0.9840908204688373,0.9876782382553928,0.9914728274426696,0.9980363546631695,0.1219524191418034,0.19243399259905325,0.6470791402190315,0.9596008390538605
sdm_fake_0013__phonefact_g726_24k,0.051191768376111224,0.03722983400668233,0.03092686426388553,0.5289101713144334,0.3649820411698103,0.5916934294191366,0.40830652789200444,0.028445779575524976,0.48936170212765956,0.5106382978723404,0.6308791399677591,0.8445578227927664,0.8923422449952998,0.9263621853168957,0.6966010946340361,0.9748961264227158,0.9917492021477242,0.9971171184052479
sdm_fake_0014__phonefact_g726_24k,0.17343480689372467,0.17239408081870156,0.00635174391942075,0.988034652922507,0.0013412614342766407,0.9986443325182922,0.001355664121499975,0.007846493935352548,1.0,0.0,0.995490140091508,0.996673567901885,0.9971818157260585,0.9974312777063502,0.026266732632270407,0.04224192496433747,0.06518753619994025,0.08006327392847863
