EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS,MEAN_FILE_EER,MEAN_MUSIC_EER
0,0.27352319368387035,0.7547831632653061,0.6647433261183261,0.6253766233766234,0.3135335497835498,0.17614795918367346
2,0.07524501083729168,0.7748384353741496,0.6847757936507937,0.5885714285714285,0.2841666666666666,0.15889455782312928
4,0.05031872044006983,0.7778656462585034,0.6889642857142858,0.5902857142857143,0.27785714285714286,0.15855442176870752
6,0.03910122114933928,0.8134651360544218,0.6478248556998557,0.5933333333333334,0.3670638528138528,0.1397363945578231
8,0.03068334795772733,0.7832993197278912,0.7007484668109668,0.6095324675324676,0.26646861471861477,0.13625850340136056
10,0.03150362313180901,0.7641751700680272,0.7079357864357864,0.5939480519480519,0.25014069264069266,0.14593537414965987
12,0.03203871296634933,0.8109608843537415,0.7070753968253968,0.6422857142857143,0.2591666666666667,0.1323639455782313
14,0.020787218511792493,0.8160671768707484,0.7154777236652237,0.6373246753246753,0.25370995670995666,0.11072278911564626
16,0.018455965556495358,0.7997534013605443,0.7012003968253969,0.5902857142857143,0.27119047619047615,0.12620748299319728
18,0.01624836950463897,0.7974702380952381,0.7012182239057237,0.5605454545454545,0.27216161616161616,0.12505952380952381
20,0.017019160688637798,0.816892006802721,0.7130963203463203,0.654077922077922,0.2549794372294372,0.1147874149659864
22,0.011391937960075722,0.7983333333333333,0.6770721500721502,0.6296666666666666,0.3179545454545454,0.12333333333333336
24,0.010447567924496649,0.7967644557823129,0.7078364297739297,0.6175324675324675,0.26252020202020204,0.12075680272108845
26,0.007306511450957315,0.8069472789115646,0.7016718975468975,0.6099480519480519,0.2726406926406927,0.11753401360544218
28,0.0066148950555516145,0.8148469387755103,0.7107425144300145,0.5992467532467532,0.26313528138528136,0.11316326530612243
30,0.006669375053328016,0.8171301020408163,0.7092824074074074,0.596,0.2691468253968254,0.11431122448979592
32,0.006519025130838104,0.8113435374149659,0.7110222763347762,0.6186753246753247,0.260754329004329,0.11445578231292518
34,0.003812585908435446,0.8271428571428572,0.711203433140933,0.5826233766233766,0.26630772005772,0.10571428571428572
36,0.0020202527586799545,0.8217049319727892,0.7093354076479077,0.6312207792207792,0.2652770562770563,0.11087585034013604
38,0.0008604674152703603,0.8146471088435374,0.7087758838383839,0.6083636363636363,0.2687294372294372,0.10784863945578231
40,0.0005614959056112473,0.8146683673469388,0.7040735930735931,0.6224415584415585,0.2755541125541125,0.1135204081632653
42,0.0005963448649665817,0.8273809523809523,0.7111563552188551,0.623090909090909,0.26444624819624823,0.10523809523809524
44,0.0009063611399928365,0.8257440476190476,0.7045617484367485,0.6070649350649351,0.27509992784992787,0.10851190476190477
46,0.0010699495232627627,0.8130697278911565,0.7078570526695526,0.5813506493506493,0.26752056277056274,0.11100340136054422
48,0.0012838608223493145,0.8153826530612246,0.7108460497835498,0.5907012987012987,0.26248160173160173,0.11209183673469388
50,0.00025961958120526355,0.8222108843537415,0.7104582732082733,0.5968051948051948,0.2652994227994228,0.1098639455782313
