EPOCH,LOSS,SELECTION,POOLED_DEVELOPMENT_ADS,MEAN_NORMALIZED_DOMAIN_ADS,WORST_NORMALIZED_DOMAIN_ADS,LOSS_VOICE,LOSS_MUSIC,LOSS_FILE,LOSS_RESIDUAL,LOSS_RANK_VOICE,LOSS_RANK_MUSIC,LOSS_RANK_FILE,LOSS_RANKING,LOSS_QUARTET_INVARIANCE,LOSS_QUARTET_LATENT_INVARIANCE,LOSS_AUC_RANKING,LOSS_LOGIT_CONSISTENCY,LOSS_LATENT_CONSISTENCY,LOSS_GROUP_DRO
0,,0.8079443323590796,0.8315377079098158,0.8494796913944643,0.7192222222222222,,,,,,,,,,,,,,
2,0.31621052446791315,0.8188666149706619,0.8480601927512411,0.859901629935721,0.7194444444444444,0.399947806693632,0.17286376658799335,0.08080195257944002,1.8397751088177892,0.31990580946650754,0.035264600044065536,0.17539886625543719,0.16225997669155484,0.5036733593819455,0.28993515100875505,0.16678323860166977,0.11432701735653297,0.030003869490092504,0.11658556599900237
4,0.2642372421623759,0.8165662970942235,0.8450490271872663,0.8631671340023612,0.713,0.3124945634670222,0.16029780242239955,0.07467463441582313,1.8946099219778878,0.2065527876051356,0.025133574207716468,0.13829601455980273,0.11799863752774635,0.3540999496086913,0.17902090480152646,0.11275402903649492,0.11095515210459482,0.024501457425825927,0.0899446505094086
6,0.25140969914168193,0.8198174962379023,0.8472492437548288,0.8579937196641741,0.7267777777777777,0.2926729203403888,0.14722871455245481,0.0720987032234966,1.963603637016325,0.16748383911117504,0.016576533793109444,0.11378622312386731,0.09536284054083717,0.2779616682309462,0.19395474446681968,0.08901560117033057,0.12969336502644188,0.02829541527013529,0.11447336158060244
8,0.23135722005189796,0.8206462875393812,0.8477786902893092,0.8599166584677949,0.7271111111111112,0.2787945438962125,0.1406824865168141,0.07005401509386434,1.9694788957352083,0.13372587030822822,0.012743481022661677,0.0868633458201332,0.07399989206057328,0.24169472096575698,0.17380128998688374,0.07113020384346803,0.12087209971977522,0.019589171007682312,0.07936748378608542
10,0.2281553689112414,0.8225549603771063,0.8499517276215878,0.86231638626525,0.728,0.2746814760699201,0.13814759085798145,0.06701221984269014,1.954131935514621,0.1211815342881638,0.009904613358719247,0.06852109215004527,0.06146823732988603,0.21627448714194605,0.1802175530783869,0.06443070773897108,0.127681161670839,0.02440768720313388,0.0987996398737719
12,0.23124697917507062,0.8177655150800179,0.8469037180781784,0.8589212908303817,0.7183333333333334,0.2817922121849819,0.13804356835374784,0.069366057500688,1.9436563125890285,0.11460181072687925,0.010496565663204784,0.0844295890028797,0.06828412673533407,0.21950085928191,0.2423647364499557,0.06824018541881027,0.12114714004970457,0.03699310336132251,0.0943893342738912
14,0.21633596564480914,0.8210054448022636,0.8519378622530906,0.8618127213695396,0.7183333333333334,0.26077825060827814,0.13122206990287374,0.0665747479938749,1.8853012955010826,0.10144055631725275,0.008447234795095205,0.054143152153351116,0.04989385827263789,0.1882943923200541,0.17468467250985292,0.052376734363888185,0.13381327701204304,0.03081116643711109,0.0931850435723092
16,0.2120958144589334,0.8150970779783757,0.8457979536741853,0.8571257378984651,0.7116666666666667,0.26285337885060617,0.1357195842918702,0.06315990947140727,1.927535238248243,0.09911731680480777,0.0071431674885334764,0.04402036673248406,0.04397659742784116,0.18631687712284825,0.16406516405400212,0.049651489676283696,0.1149809608795211,0.023878360310426124,0.07769097708784986
18,0.20889785216552745,0.8231338615383488,0.8519355088893698,0.8659977617079891,0.7226666666666667,0.26425465689070765,0.13236501249981578,0.06417463831695966,1.8954917156962543,0.0950226309078355,0.007380812386427509,0.047126986229648955,0.04478226341399602,0.16972343350018815,0.16024633585741146,0.04878061705687206,0.1002695526437783,0.027718267743256194,0.077787691274763
20,0.2047795833940815,0.8195444621446298,0.8476544865678901,0.8612022087760723,0.7216666666666667,0.26227606802324105,0.12909648068100585,0.06458407260496123,1.8913105634085259,0.08465219029873386,0.005707928103782664,0.033558253526334604,0.035421943577689276,0.1575232646021611,0.14419494091795568,0.04225526728140111,0.10538662641200044,0.02777773915718024,0.07540417137194194
22,0.20786058035662985,0.8246073996611797,0.8540992690193292,0.8638977272727272,0.7263333333333334,0.2598827645164122,0.12986865484389123,0.06278167977910627,1.923618589973923,0.08896232867340739,0.005717095058693299,0.03402991808151304,0.03652255369752424,0.16314580483782676,0.12842648772166917,0.04438333761145733,0.1376599156050469,0.023929770079166364,0.08233827895718274
24,0.20856081066069318,0.815504924541722,0.8468286950102446,0.8580289748130656,0.7103333333333334,0.2559118682138659,0.13591772484227052,0.06437748147925335,1.9234922983456606,0.08499534902121149,0.005865133639404189,0.03148012941781969,0.034498674998903155,0.1599387755126354,0.14261712296981716,0.04271948234460766,0.12807559820624134,0.024890752796509964,0.08142976473359499
26,0.202051850983286,0.8275464477482779,0.8549182103332345,0.864349370326643,0.736,0.25390517948283153,0.13202830380471262,0.06493416763195033,1.8648471280599646,0.07846546236647492,0.005153636259163173,0.028661010257677907,0.03156968877967401,0.13379415934420105,0.12353552057044974,0.04099807469058717,0.14412034326059647,0.022409402536547215,0.07323270780756543
