MODEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
anchor,600,600,0.2333333333333333,600,0.20666666666666667,600,0.2533333333333333,,,0.766,,False,
voice_mil_v53,600,600,0.2333333333333333,600,0.19999999999999998,600,0.2533333333333333,,,0.7673333333333334,,False,
