MODEL,MIX_MODE,COMPONENT_CASE,PARENTS,N,FILE_REFERENCE_CASE,FILE_EER,FILE_NEG_N,FILE_POS_N,VOICE_REFERENCE_CASE,VOICE_EER,VOICE_NEG_N,VOICE_POS_N,MUSIC_REFERENCE_CASE,MUSIC_EER,MUSIC_NEG_N,MUSIC_POS_N
anchor,concurrent,RR,10,50,,,0,0,,,0,0,,,0,0
anchor,concurrent,RF,10,50,RR,0.24,50,50,,,0,0,RR,0.28,50,50
anchor,concurrent,FR,10,50,RR,0.4,50,50,RR,0.21999999999999997,50,50,,,0,0
anchor,concurrent,FF,10,50,RR,0.19999999999999998,50,50,RF,0.24,50,50,FR,0.19999999999999998,50,50
anchor,partial_overlap,RR,10,50,,,0,0,,,0,0,,,0,0
anchor,partial_overlap,RF,10,50,RR,0.33999999999999997,50,50,,,0,0,RR,0.31999999999999995,50,50
anchor,partial_overlap,FR,10,50,RR,0.24,50,50,RR,0.16000000000000003,50,50,,,0,0
anchor,partial_overlap,FF,10,50,RR,0.21999999999999997,50,50,RF,0.26,50,50,FR,0.38,50,50
anchor,sequential,RR,10,50,,,0,0,,,0,0,,,0,0
anchor,sequential,RF,10,50,RR,0.19999999999999998,50,50,,,0,0,RR,0.09999999999999999,50,50
anchor,sequential,FR,10,50,RR,0.09999999999999999,50,50,RR,0.16000000000000003,50,50,,,0,0
anchor,sequential,FF,10,50,RR,0.16000000000000003,50,50,RF,0.19999999999999998,50,50,FR,0.28,50,50
voice_mil_v53,concurrent,RR,10,50,,,0,0,,,0,0,,,0,0
voice_mil_v53,concurrent,RF,10,50,RR,0.24,50,50,,,0,0,RR,0.28,50,50
voice_mil_v53,concurrent,FR,10,50,RR,0.4,50,50,RR,0.21999999999999997,50,50,,,0,0
voice_mil_v53,concurrent,FF,10,50,RR,0.19999999999999998,50,50,RF,0.26,50,50,FR,0.19999999999999998,50,50
voice_mil_v53,partial_overlap,RR,10,50,,,0,0,,,0,0,,,0,0
voice_mil_v53,partial_overlap,RF,10,50,RR,0.33999999999999997,50,50,,,0,0,RR,0.31999999999999995,50,50
voice_mil_v53,partial_overlap,FR,10,50,RR,0.24,50,50,RR,0.14,50,50,,,0,0
voice_mil_v53,partial_overlap,FF,10,50,RR,0.21999999999999997,50,50,RF,0.26,50,50,FR,0.38,50,50
voice_mil_v53,sequential,RR,10,50,,,0,0,,,0,0,,,0,0
voice_mil_v53,sequential,RF,10,50,RR,0.19999999999999998,50,50,,,0,0,RR,0.09999999999999999,50,50
voice_mil_v53,sequential,FR,10,50,RR,0.09999999999999999,50,50,RR,0.09999999999999999,50,50,,,0,0
voice_mil_v53,sequential,FF,10,50,RR,0.16000000000000003,50,50,RF,0.18000000000000002,50,50,FR,0.28,50,50
