MODEL,AXIS,GROUP,N,IDENTITY_FILE_EER,CANDIDATE_FILE_EER,DELTA_FILE_EER,IDENTITY_VOICE_EER,CANDIDATE_VOICE_EER,DELTA_VOICE_EER,IDENTITY_MUSIC_EER,CANDIDATE_MUSIC_EER,DELTA_MUSIC_EER,IDENTITY_ADS,CANDIDATE_ADS,DELTA_ADS,IDENTITY_CPS,CANDIDATE_CPS,DELTA_CPS,IDENTITY_NORMALIZED_AVAILABLE_ADS,CANDIDATE_NORMALIZED_AVAILABLE_ADS,DELTA_NORMALIZED_AVAILABLE_ADS
v1_robust_l2,DOMAIN,asvspoof_voice_wav_dev_v1,176,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,1.0,0.0
v1_robust_l2,DOMAIN,codec_mixed_dev_v4,600,0.2788888888888889,0.23222222222222225,-0.04666666666666666,0.29666666666666663,0.20999999999999996,-0.08666666666666667,0.2733333333333333,0.2666666666666667,-0.006666666666666599,0.7192222222222222,0.7618888888888888,0.04266666666666663,,,,0.7192222222222222,0.7618888888888888,0.04266666666666663
v1_robust_l2,DOMAIN,echoes_fma_paired_v3,111,0.07207792207792209,0.09009740259740262,0.018019480519480532,,,,0.09009740259740262,0.09009740259740262,0.0,,,,,,,0.9211647727272727,0.9099025974025973,-0.011262175324675439
v1_robust_l2,DOMAIN,external_mixed_v1,400,0.21166666666666667,0.15000000000000002,-0.06166666666666665,0.31000000000000005,0.20999999999999996,-0.10000000000000009,0.125,0.135,0.010000000000000009,0.7946666666666666,0.8425,0.047833333333333394,,,,0.7946666666666666,0.8425,0.047833333333333394
v1_robust_l2,DOMAIN,external_mixed_v1_telephone_v1,400,0.20833333333333331,0.14,-0.0683333333333333,0.31999999999999995,0.21999999999999997,-0.09999999999999998,0.125,0.13,0.0050000000000000044,0.7943333333333333,0.8470000000000001,0.05266666666666675,,,,0.7943333333333333,0.8470000000000001,0.05266666666666675
v1_robust_l2,DOMAIN,factorial_eval_1200_v2,400,0.23236363636363638,0.2018181818181818,-0.03054545454545457,0.2857142857142857,0.27428571428571424,-0.011428571428571455,0.2114285714285714,0.2114285714285714,0.0,0.7632467532467533,0.7808051948051948,0.01755844155844155,0.9996285714285714,0.9996285714285714,0.0,0.7632467532467533,0.7808051948051948,0.01755844155844155
v1_robust_l2,DOMAIN,mixfake_music_dev_v1,1600,0.07499999999999998,0.062083333333333324,-0.01291666666666666,0.10250000000000001,0.08125000000000002,-0.02124999999999999,0.07625000000000001,0.07999999999999999,0.0037499999999999756,0.919125,0.9287083333333334,0.009583333333333388,,,,0.919125,0.9287083333333334,0.009583333333333388
v1_robust_l2,DOMAIN,multigen_voice_v2,90,0.06666666666666665,0.06666666666666665,0.0,0.09999999999999999,0.09166666666666669,-0.008333333333333304,,,,,,,,,,0.923809523809524,0.9261904761904762,0.0023809523809522615
v1_robust_l2,DOMAIN,source_disjoint_mixed_v1,200,0.21999999999999997,0.18333333333333332,-0.03666666666666665,0.15000000000000002,0.15000000000000002,0.0,0.16000000000000003,0.12,-0.040000000000000036,0.812,0.8423333333333334,0.030333333333333323,,,,0.812,0.8423333333333334,0.030333333333333323
v1_robust_l2,DOMAIN,source_disjoint_mixed_v1_telephone_v1,200,0.2833333333333333,0.23666666666666664,-0.04666666666666669,0.14,0.14,0.0,0.31000000000000005,0.26,-0.050000000000000044,0.7373333333333333,0.7756666666666667,0.03833333333333344,,,,0.7373333333333333,0.7756666666666667,0.03833333333333344
