MODEL,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
v1_robust_l2__music_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.14,0.26,,,0.7523333333333333,,,0.7523333333333333
v1_robust_l2__music_only,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.07499999999999998,,,,,,0.95
v1_robust_l2__file_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v1_robust_l2__file_only,codec_mixed_dev_v4,600,600,600,600,0.23888888888888887,0.29666666666666663,0.2733333333333333,,,0.7392222222222222,,,0.7392222222222222
v1_robust_l2__file_only,echoes_fma_paired_v3,111,111,0,111,0.09009740259740262,,0.09009740259740262,,,,,,0.9099025974025973
v1_robust_l2__file_only,external_mixed_v1,400,400,400,400,0.14833333333333332,0.31000000000000005,0.125,,,0.8263333333333334,,,0.8263333333333334
v1_robust_l2__file_only,external_mixed_v1_telephone_v1,400,400,400,400,0.17000000000000004,0.31999999999999995,0.125,,,0.8134999999999999,,,0.8134999999999999
v1_robust_l2__file_only,factorial_eval_1200_v2,400,400,350,350,0.21527272727272728,0.2857142857142857,0.2114285714285714,0.9992571428571428,1.0,0.7717922077922078,0.9996285714285714,0.7945758441558441,0.7717922077922078
v1_robust_l2__file_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.08250000000000002,0.10250000000000001,0.07625000000000001,,,0.9153749999999999,,,0.9153749999999999
v1_robust_l2__file_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
v1_robust_l2__file_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.16000000000000003,,,0.812,,,0.812
v1_robust_l2__file_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.24,0.14,0.31000000000000005,,,0.759,,,0.759
v1_robust_l2__file_only,source_disjoint_music_v1,400,400,0,400,0.060000000000000026,,0.050000000000000024,,,,,,0.9437499999999999
v2_disentangle_l2,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v2_disentangle_l2,codec_mixed_dev_v4,600,600,600,600,0.2666666666666667,0.22333333333333336,0.26,,,0.744,,,0.744
v2_disentangle_l2,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.07207792207792209,,,,,,0.9279220779220778
v2_disentangle_l2,external_mixed_v1,400,400,400,400,0.15166666666666667,0.235,0.11499999999999999,,,0.8426666666666667,,,0.8426666666666667
v2_disentangle_l2,external_mixed_v1_telephone_v1,400,400,400,400,0.15833333333333333,0.255,0.125,,,0.8323333333333334,,,0.8323333333333334
v2_disentangle_l2,factorial_eval_1200_v2,400,400,350,350,0.1847272727272727,0.2914285714285715,0.16000000000000003,0.9992571428571428,1.0,0.8013506493506494,0.9996285714285714,0.8211784415584416,0.8013506493506494
v2_disentangle_l2,mixfake_music_dev_v1,1600,1600,1600,1600,0.06499999999999997,0.07874999999999999,0.07999999999999999,,,0.9277500000000001,,,0.9277500000000001
v2_disentangle_l2,multigen_voice_v2,90,90,90,0,0.09999999999999999,0.09166666666666669,,,,,,,0.9023809523809525
v2_disentangle_l2,source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.15000000000000002,0.13,,,0.8310000000000001,,,0.8310000000000001
v2_disentangle_l2,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.26,0.16000000000000003,0.26,,,0.76,,,0.76
v2_disentangle_l2,source_disjoint_music_v1,400,400,0,400,0.05500000000000002,,0.06499999999999997,,,,,,0.9412499999999999
v2_disentangle_l2__voice_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v2_disentangle_l2__voice_only,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.22333333333333336,0.2733333333333333,,,0.7338888888888888,,,0.7338888888888888
v2_disentangle_l2__voice_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
