EPOCH,LOSS,SELECTION,OVERALL_SELECTION,MEAN_ADS,WORST_ADS
0,0.7767212099035581,0.2974000850340137,0.6504567242451509,0.6840384484903017,0.616875
1,0.67832549649477,0.6020578231292517,0.7233977998947112,0.7692371582309809,0.6775584415584416
2,0.6236212118566036,0.6969387755102041,0.7791754649380013,0.8252340467591195,0.7331168831168831
3,0.5521335829297701,0.7192687074829932,0.7709068750209738,0.8277098539380515,0.7141038961038961
4,0.504755859921376,0.7473469387755102,0.7919209803338618,0.8413744282001913,0.7424675324675325
5,0.4618593234072129,0.7471704931972789,0.7873441567617622,0.8394675343027451,0.7352207792207792
6,0.42859441952904065,0.776343537414966,0.805295468964982,0.8509545742936004,0.7596363636363637
7,0.40294408473869164,0.7709736394557823,0.8093667302698917,0.8636685254748482,0.7550649350649351
8,0.38362700485189755,0.758937074829932,0.7882351644035874,0.84179500413185,0.7346753246753247
9,0.356770531753699,0.7697236394557824,0.8090886599067921,0.8650344626707273,0.7531428571428571
10,0.3398025511155526,0.7579719387755102,0.7963781678391053,0.8645485434704185,0.7282077922077922
