EPOCH,TRAIN_LOSS,BASE_LOSS,INVARIANCE_LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.5908152464032174,0.5357317730784417,0.05508347182107779,0.7445883838383839,0.805358585858586,0.6838181818181818
1,0.34999680971105895,0.2790507028152545,0.07094610737264156,0.7569930555555555,0.8191289682539683,0.6948571428571428
2,0.26438077429682016,0.20018242544184128,0.06419834865257144,0.7475325126262626,0.8190390512265512,0.6760259740259741
3,0.2183082991031309,0.16013558418552082,0.058172715074460334,0.7447997685185186,0.8153138227513229,0.6742857142857144
4,0.19311570592845478,0.14208488430579502,0.051030821573488844,0.752987058080808,0.82174034992785,0.6842337662337662
5,0.16891001962870358,0.12159944172420849,0.047310577771808915,0.7708652146464647,0.8227174422799424,0.719012987012987
6,0.14884610882711907,0.10789360200148077,0.0409525066304656,0.7505601851851852,0.8091203703703704,0.692
7,0.13760587899324794,0.09884720183676109,0.03875867727411878,0.7599217171717172,0.8200252525252525,0.6998181818181818
8,0.12370241347296784,0.08980528847935298,0.033897125075017055,0.767515888047138,0.8256811267436267,0.7093506493506493
9,0.12220501780478904,0.09014328524113323,0.0320617325581649,0.7703627946127947,0.8300242905242906,0.7107012987012987
10,0.11103463435204079,0.08172531707158001,0.029309317329662916,0.7568159722222223,0.8187748015873016,0.6948571428571428
11,0.10285641631856561,0.07315678608596014,0.029699630108097723,0.7715470328282829,0.8200551046176047,0.723038961038961
12,0.10202238244485731,0.0737752265188222,0.02824715595590169,0.7534962121212121,0.8210703463203464,0.6859220779220779
13,0.09640303233463783,0.07053503222588915,0.0258680000335562,0.7578002946127946,0.8208992905242906,0.6947012987012987
14,0.0998973954753019,0.07017058180831373,0.029726813595078852,0.7574008838383839,0.8235550144300144,0.6912467532467532
15,0.08087422263870636,0.057489015369113376,0.023385207165906308,0.7571477272727274,0.8255422077922079,0.6887532467532468
16,0.08875127224600873,0.06446199310640804,0.02428927937813637,0.7644360269360271,0.8246642616642618,0.7042077922077923
17,0.08531063481622066,0.06124360066776474,0.024067034041915767,0.7689198232323232,0.8279175685425685,0.709922077922078
18,0.08272539474399916,0.058540420830521425,0.024184973885827323,0.7675085227272728,0.8311988636363637,0.7038181818181818
19,0.0746485824182164,0.05235357116463517,0.022295011384403447,0.7602926136363636,0.828351461038961,0.6922337662337662
20,0.07308970434435953,0.053588452971278455,0.019501251246303013,0.772739898989899,0.8296875901875902,0.7157922077922079
21,0.07341200212344605,0.052920313826180065,0.020491688194231576,0.7665871212121211,0.8225248917748917,0.7106493506493506
22,0.07074779297333832,0.05117002147748523,0.019577771718687326,0.7676508838383839,0.8223407287157287,0.712961038961039
23,0.06501307655725395,0.04742666370497318,0.01758641287468789,0.773043244949495,0.8262683080808081,0.7198181818181818
24,0.06436983873079104,0.04610172244989857,0.018268116253392794,0.7795874368686868,0.8253047438672438,0.7338701298701298
25,0.059123989437580654,0.042587768943456464,0.01653622046368183,0.7660401936026937,0.8250154521404522,0.7070649350649351
26,0.06535397656454976,0.04670157438954144,0.01865240193621568,0.7671311026936027,0.8270414261664262,0.7072207792207792
27,0.06338785184766554,0.04600625699387941,0.017381594981380033,0.7586827651515151,0.82310579004329,0.6942597402597402
28,0.058869518318407546,0.04352473960332524,0.015344778778999597,0.7708916245791246,0.8265364959114959,0.7152467532467532
29,0.05156146028806688,0.037465814593519706,0.014095645698834933,0.7754049873737373,0.8239788059163059,0.7268311688311687
30,0.05278156351123471,0.037641857547898935,0.01513970588207313,0.7732238005050505,0.8232008477633478,0.7232467532467532
31,0.05251106728535281,0.0366447692609266,0.01586629814024552,0.7690148358585858,0.8229387626262626,0.715090909090909
32,0.05844115225662244,0.041273097864885734,0.01716805439790693,0.762638994107744,0.820109157046657,0.7051688311688312
33,0.05093032057712359,0.03763925885015245,0.0132910617546393,0.7627809343434344,0.8276397907647909,0.6979220779220779
34,0.05220618948584888,0.03783746629802044,0.01436872313133385,0.7647815656565656,0.8263423520923521,0.7032207792207792
