MUSIC_GENERATOR,SOURCES,PANNS_FLAGS,DEMUCS_FLAGS,PASSES,MAX_PANNS_VOICE
MusicGen_medium,8,0,0,8,0.0423770286142826
audioldm2,8,0,0,8,0.0780931338667869
stable_audio_open,8,0,0,8,0.0393125154078006
