EPOCH,LOSS,SELECTION,MEAN_EER,WORST_EER
1,0.4668754653930664,0.6130272108843537,0.3370705782312925,0.436875
2,0.2836094842851162,0.6759608843537416,0.26995323129251697,0.37812499999999993
3,0.18898533573746681,0.7077125850340136,0.25769982993197277,0.326875
4,0.15062628246843815,0.7241602891156462,0.2516794217687075,0.30000000000000004
5,0.11894240582734346,0.7108227040816326,0.25835459183673465,0.31999999999999995
6,0.10493848862498999,0.7420578231292516,0.2130272108843537,0.3028571428571428
7,0.08145140514336527,0.7203954081632653,0.23349489795918368,0.32571428571428573
8,0.08077636126056313,0.7501360544217686,0.2082993197278912,0.2914285714285715
9,0.07627753371186555,0.7287159863945578,0.2254251700680272,0.3171428571428571
10,0.0737825886439532,0.7648681972789115,0.19693027210884356,0.2733333333333333
11,0.056500630186870696,0.7617623299319728,0.19314200680272112,0.2833333333333333
12,0.06085077291540802,0.7469281462585035,0.21281037414965986,0.29333333333333333
13,0.05585161144193262,0.7491241496598638,0.21032312925170066,0.2914285714285715
14,0.04518362014554441,0.7673065476190476,0.18538690476190478,0.28
15,0.04741922663431614,0.7474043367346939,0.20519132653061226,0.30000000000000004
16,0.04468280012626201,0.7645897108843538,0.19653486394557823,0.27428571428571424
17,0.042769714924041184,0.7437733843537415,0.20578656462585032,0.30666666666666664
18,0.04023173494869843,0.765578231292517,0.1921768707482993,0.2766666666666666
19,0.03484068346768618,0.7640476190476189,0.19190476190476188,0.28
20,0.036597417266573756,0.7729039115646258,0.19085884353741495,0.2633333333333333
21,0.03397610503295437,0.7772193877551021,0.18556122448979592,0.26
22,0.0256863966549281,0.7565858843537415,0.20111394557823134,0.2857142857142857
23,0.03365398651221767,0.7662585034013605,0.1817687074829932,0.2857142857142857
24,0.0291255225201603,0.770563350340136,0.19030187074829932,0.26857142857142857
25,0.029895307213068007,0.7660714285714285,0.18785714285714286,0.28
26,0.027326531453290955,0.7666156462585034,0.1810544217687075,0.2857142857142857
27,0.027381797873182224,0.7744770408163265,0.18247448979591835,0.26857142857142857
28,0.028290592107921838,0.761906887755102,0.1847576530612245,0.2914285714285715
29,0.025357719792984425,0.7831207482993197,0.1766156462585034,0.2571428571428571
30,0.022094424447976053,0.7852784863945578,0.1723001700680272,0.2571428571428571
31,0.02439190501300618,0.7695897108843538,0.18653486394557822,0.27428571428571424
32,0.022051594657357784,0.785233843537415,0.17238945578231293,0.2571428571428571
33,0.023570056425291114,0.7859183673469388,0.1710204081632653,0.2571428571428571
34,0.02124247517855838,0.7859630102040817,0.1709311224489796,0.2571428571428571
35,0.018701741199940444,0.7988392857142856,0.16232142857142856,0.24
36,0.02252853736653924,0.7855697278911564,0.16600340136054426,0.2628571428571429
37,0.019060205436195247,0.785843962585034,0.17116921768707485,0.2571428571428571
38,0.016218181016738525,0.7998596938775511,0.15456632653061225,0.2457142857142857
39,0.017378545156563632,0.7986203231292517,0.16609268707482996,0.2366666666666667
40,0.01717318455793429,0.7935799319727892,0.16712585034013605,0.2457142857142857
41,0.017711556973983533,0.7800659013605442,0.1655824829931973,0.27428571428571424
42,0.015233517062966712,0.7965858843537416,0.1611139455782313,0.2457142857142857
43,0.013610343599924817,0.7927699829931972,0.163031462585034,0.25142857142857145
44,0.018008318490115926,0.7747172619047619,0.1705654761904762,0.28
45,0.014801414369954727,0.7826615646258503,0.16610544217687076,0.26857142857142857
46,0.015413962024555077,0.7895790816326531,0.1636989795918367,0.2571428571428571
47,0.011969728069379926,0.7930973639455782,0.1623767006802721,0.25142857142857145
48,0.016993277399567887,0.7859141156462586,0.17388605442176872,0.2542857142857143
