axis,group,task,contrast,n,base_count,eer
CHANNEL+MIX_MODE,clean|partial_overlap,MUSIC,RR_vs_RF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,clean|partial_overlap,MUSIC,FR_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,clean|sequential,FILE,RR_vs_FR,20,20,0.10000000000000003
CHANNEL+MIX_MODE,clean|sequential,FILE,RR_vs_RF,20,20,0.0
CHANNEL+MIX_MODE,clean|sequential,FILE,RR_vs_FF,20,20,0.0
CHANNEL+MIX_MODE,clean|sequential,VOICE,RR_vs_FR,20,20,0.0
CHANNEL+MIX_MODE,clean|sequential,VOICE,RF_vs_FF,20,20,0.0
CHANNEL+MIX_MODE,clean|sequential,MUSIC,RR_vs_RF,20,20,0.0
CHANNEL+MIX_MODE,clean|sequential,MUSIC,FR_vs_FF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,g711_ulaw|concurrent,FILE,RR_vs_FR,20,20,0.39999999999999997
CHANNEL+MIX_MODE,g711_ulaw|concurrent,FILE,RR_vs_RF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,g711_ulaw|concurrent,FILE,RR_vs_FF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,g711_ulaw|concurrent,VOICE,RR_vs_FR,20,20,0.19999999999999996
CHANNEL+MIX_MODE,g711_ulaw|concurrent,VOICE,RF_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|concurrent,MUSIC,RR_vs_RF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|concurrent,MUSIC,FR_vs_FF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,g711_ulaw|partial_overlap,FILE,RR_vs_FR,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|partial_overlap,FILE,RR_vs_RF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,g711_ulaw|partial_overlap,FILE,RR_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|partial_overlap,VOICE,RR_vs_FR,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|partial_overlap,VOICE,RF_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|partial_overlap,MUSIC,RR_vs_RF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,g711_ulaw|partial_overlap,MUSIC,FR_vs_FF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,g711_ulaw|sequential,FILE,RR_vs_FR,20,20,0.0
CHANNEL+MIX_MODE,g711_ulaw|sequential,FILE,RR_vs_RF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|sequential,FILE,RR_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|sequential,VOICE,RR_vs_FR,20,20,0.0
CHANNEL+MIX_MODE,g711_ulaw|sequential,VOICE,RF_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g711_ulaw|sequential,MUSIC,RR_vs_RF,20,20,0.0
CHANNEL+MIX_MODE,g711_ulaw|sequential,MUSIC,FR_vs_FF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,g722_wb|concurrent,FILE,RR_vs_FR,20,20,0.30000000000000004
CHANNEL+MIX_MODE,g722_wb|concurrent,FILE,RR_vs_RF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g722_wb|concurrent,FILE,RR_vs_FF,20,20,0.0
CHANNEL+MIX_MODE,g722_wb|concurrent,VOICE,RR_vs_FR,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g722_wb|concurrent,VOICE,RF_vs_FF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,g722_wb|concurrent,MUSIC,RR_vs_RF,20,20,0.0
CHANNEL+MIX_MODE,g722_wb|concurrent,MUSIC,FR_vs_FF,20,20,0.0
CHANNEL+MIX_MODE,g722_wb|partial_overlap,FILE,RR_vs_FR,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g722_wb|partial_overlap,FILE,RR_vs_RF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,g722_wb|partial_overlap,FILE,RR_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g722_wb|partial_overlap,VOICE,RR_vs_FR,20,20,0.0
CHANNEL+MIX_MODE,g722_wb|partial_overlap,VOICE,RF_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g722_wb|partial_overlap,MUSIC,RR_vs_RF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,g722_wb|partial_overlap,MUSIC,FR_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g722_wb|sequential,FILE,RR_vs_FR,20,20,0.19999999999999996
CHANNEL+MIX_MODE,g722_wb|sequential,FILE,RR_vs_RF,20,20,0.0
CHANNEL+MIX_MODE,g722_wb|sequential,FILE,RR_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g722_wb|sequential,VOICE,RR_vs_FR,20,20,0.10000000000000003
CHANNEL+MIX_MODE,g722_wb|sequential,VOICE,RF_vs_FF,20,20,0.0
CHANNEL+MIX_MODE,g722_wb|sequential,MUSIC,RR_vs_RF,20,20,0.0
CHANNEL+MIX_MODE,g722_wb|sequential,MUSIC,FR_vs_FF,20,20,0.10000000000000003
CHANNEL+MIX_MODE,opus_nb_8k|concurrent,FILE,RR_vs_FR,20,20,0.6000000000000001
CHANNEL+MIX_MODE,opus_nb_8k|concurrent,FILE,RR_vs_RF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,opus_nb_8k|concurrent,FILE,RR_vs_FF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,opus_nb_8k|concurrent,VOICE,RR_vs_FR,20,20,0.39999999999999997
CHANNEL+MIX_MODE,opus_nb_8k|concurrent,VOICE,RF_vs_FF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,opus_nb_8k|concurrent,MUSIC,RR_vs_RF,20,20,0.6000000000000001
CHANNEL+MIX_MODE,opus_nb_8k|concurrent,MUSIC,FR_vs_FF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,opus_nb_8k|partial_overlap,FILE,RR_vs_FR,20,20,0.30000000000000004
CHANNEL+MIX_MODE,opus_nb_8k|partial_overlap,FILE,RR_vs_RF,20,20,0.5
CHANNEL+MIX_MODE,opus_nb_8k|partial_overlap,FILE,RR_vs_FF,20,20,0.5
CHANNEL+MIX_MODE,opus_nb_8k|partial_overlap,VOICE,RR_vs_FR,20,20,0.19999999999999996
CHANNEL+MIX_MODE,opus_nb_8k|partial_overlap,VOICE,RF_vs_FF,20,20,0.5
CHANNEL+MIX_MODE,opus_nb_8k|partial_overlap,MUSIC,RR_vs_RF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,opus_nb_8k|partial_overlap,MUSIC,FR_vs_FF,20,20,0.5
CHANNEL+MIX_MODE,opus_nb_8k|sequential,FILE,RR_vs_FR,20,20,0.19999999999999996
CHANNEL+MIX_MODE,opus_nb_8k|sequential,FILE,RR_vs_RF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,opus_nb_8k|sequential,FILE,RR_vs_FF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,opus_nb_8k|sequential,VOICE,RR_vs_FR,20,20,0.30000000000000004
CHANNEL+MIX_MODE,opus_nb_8k|sequential,VOICE,RF_vs_FF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,opus_nb_8k|sequential,MUSIC,RR_vs_RF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,opus_nb_8k|sequential,MUSIC,FR_vs_FF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,transcode_g711_opus|concurrent,FILE,RR_vs_FR,20,20,0.5
CHANNEL+MIX_MODE,transcode_g711_opus|concurrent,FILE,RR_vs_RF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,transcode_g711_opus|concurrent,FILE,RR_vs_FF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,transcode_g711_opus|concurrent,VOICE,RR_vs_FR,20,20,0.30000000000000004
CHANNEL+MIX_MODE,transcode_g711_opus|concurrent,VOICE,RF_vs_FF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,transcode_g711_opus|concurrent,MUSIC,RR_vs_RF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,transcode_g711_opus|concurrent,MUSIC,FR_vs_FF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,transcode_g711_opus|partial_overlap,FILE,RR_vs_FR,20,20,0.39999999999999997
CHANNEL+MIX_MODE,transcode_g711_opus|partial_overlap,FILE,RR_vs_RF,20,20,0.39999999999999997
