gate,wf,devADS,devF,devM,holdADS,holdF,holdM,phoneADS,phoneF,phoneM,yueADS,yueF,yueM
0.0,0.05,0.7317922077922078,0.29527272727272724,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.7851785714285714,0.24414285714285716,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.0,0.1,0.7308831168831169,0.29709090909090907,0.2114285714285714,0.7638441558441559,0.24945454545454543,0.22285714285714286,0.7934642857142857,0.22757142857142854,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.0,0.15,0.7356103896103896,0.2876363636363636,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.8001785714285714,0.21414285714285713,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.0,0.2,0.7432467532467533,0.27236363636363636,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.80225,0.20999999999999996,0.1975,0.8673375409069658,0.12771739130434784,0.16129032258064513
0.0,0.25,0.747974025974026,0.2629090909090909,0.2114285714285714,0.7532987012987012,0.27054545454545453,0.22285714285714286,0.8043214285714286,0.20585714285714285,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.0,0.3,0.7441558441558441,0.27054545454545453,0.2114285714285714,0.7523896103896104,0.27236363636363636,0.22285714285714286,0.8034642857142857,0.20757142857142857,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.0,0.375,0.7517922077922078,0.25527272727272726,0.2114285714285714,0.7523896103896104,0.27236363636363636,0.22285714285714286,0.8013928571428571,0.2117142857142857,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.2,0.05,0.7317922077922078,0.29527272727272724,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.7851785714285714,0.24414285714285716,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.2,0.1,0.7308831168831169,0.29709090909090907,0.2114285714285714,0.7638441558441559,0.24945454545454543,0.22285714285714286,0.7951785714285714,0.22414285714285714,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.2,0.15,0.7356103896103896,0.2876363636363636,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.80225,0.20999999999999996,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.2,0.2,0.7403376623376623,0.2781818181818182,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.8063928571428571,0.2017142857142857,0.1975,0.8673375409069658,0.12771739130434784,0.16129032258064513
0.2,0.25,0.7394285714285714,0.28,0.2114285714285714,0.7562077922077922,0.26472727272727276,0.22285714285714286,0.8093214285714286,0.19585714285714287,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.2,0.3,0.7432467532467533,0.27236363636363636,0.2114285714285714,0.7532987012987012,0.27054545454545453,0.22285714285714286,0.8101785714285714,0.19414285714285714,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.2,0.375,0.7432467532467533,0.27236363636363636,0.2114285714285714,0.7562077922077922,0.26472727272727276,0.22285714285714286,0.8151785714285714,0.18414285714285714,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.3,0.05,0.7317922077922078,0.29527272727272724,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.7851785714285714,0.24414285714285716,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.3,0.1,0.7308831168831169,0.29709090909090907,0.2114285714285714,0.7638441558441559,0.24945454545454543,0.22285714285714286,0.7951785714285714,0.22414285714285714,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.3,0.15,0.7356103896103896,0.2876363636363636,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.80225,0.20999999999999996,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.3,0.2,0.7403376623376623,0.2781818181818182,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.8063928571428571,0.2017142857142857,0.1975,0.8673375409069658,0.12771739130434784,0.16129032258064513
0.3,0.25,0.7394285714285714,0.28,0.2114285714285714,0.7562077922077922,0.26472727272727276,0.22285714285714286,0.8093214285714286,0.19585714285714287,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.3,0.3,0.7432467532467533,0.27236363636363636,0.2114285714285714,0.7532987012987012,0.27054545454545453,0.22285714285714286,0.8101785714285714,0.19414285714285714,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.3,0.375,0.7432467532467533,0.27236363636363636,0.2114285714285714,0.7562077922077922,0.26472727272727276,0.22285714285714286,0.8143214285714286,0.18585714285714286,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.4,0.05,0.7317922077922078,0.29527272727272724,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.7860357142857143,0.24242857142857144,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.4,0.1,0.7308831168831169,0.29709090909090907,0.2114285714285714,0.7638441558441559,0.24945454545454543,0.22285714285714286,0.7951785714285714,0.22414285714285714,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.4,0.15,0.7356103896103896,0.2876363636363636,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.80225,0.20999999999999996,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.4,0.2,0.7403376623376623,0.2781818181818182,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.8063928571428571,0.2017142857142857,0.1975,0.8673375409069658,0.12771739130434784,0.16129032258064513
0.4,0.25,0.7394285714285714,0.28,0.2114285714285714,0.7562077922077922,0.26472727272727276,0.22285714285714286,0.8093214285714286,0.19585714285714287,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
