wf,wm,devADS,devF,devM,holdADS,holdF,holdM,phoneADS,phoneF,phoneM,yueADS,yueF,yueM
0.0,0.0,0.6979220779220779,0.30472727272727274,0.3085714285714286,0.7455064935064936,0.25527272727272726,0.27428571428571424,0.7338571428571429,0.2582857142857143,0.345,0.828448165030388,0.1861413043478261,0.19354838709677422
0.025,0.0,0.7026493506493506,0.29527272727272724,0.3085714285714286,0.7455064935064936,0.25527272727272726,0.27428571428571424,0.7359285714285714,0.25414285714285717,0.345,0.8311655563347359,0.18070652173913043,0.19354838709677422
0.05,0.0,0.7026493506493506,0.29527272727272724,0.3085714285714286,0.7455064935064936,0.25527272727272726,0.27428571428571424,0.7409285714285714,0.24414285714285716,0.345,0.8444128389434316,0.15421195652173914,0.19354838709677422
0.075,0.0,0.7026493506493506,0.29527272727272724,0.3085714285714286,0.7455064935064936,0.25527272727272726,0.27428571428571424,0.7459285714285714,0.23414285714285715,0.345,0.8444128389434316,0.15421195652173914,0.19354838709677422
0.1,0.0,0.7017402597402598,0.29709090909090907,0.3085714285714286,0.7484155844155845,0.24945454545454543,0.27428571428571424,0.7492142857142857,0.22757142857142854,0.345,0.8471302302477793,0.14877717391304346,0.19354838709677422
0.125,0.0,0.7026493506493506,0.29527272727272724,0.3085714285714286,0.7455064935064936,0.25527272727272726,0.27428571428571424,0.7538571428571429,0.21828571428571425,0.345,0.8471302302477793,0.14877717391304346,0.19354838709677422
0.15,0.0,0.7064675324675325,0.2876363636363636,0.3085714285714286,0.7455064935064936,0.25527272727272726,0.27428571428571424,0.7559285714285714,0.21414285714285713,0.345,0.8471302302477793,0.14877717391304346,0.19354838709677422
0.2,0.0,0.7141038961038961,0.27236363636363636,0.3085714285714286,0.7455064935064936,0.25527272727272726,0.27428571428571424,0.758,0.20999999999999996,0.345,0.8576601215521271,0.12771739130434784,0.19354838709677422
0.25,0.0,0.7188311688311688,0.2629090909090909,0.3085714285714286,0.7378701298701299,0.27054545454545453,0.27428571428571424,0.7600714285714286,0.20585714285714285,0.345,0.8444128389434316,0.15421195652173914,0.19354838709677422
0.3,0.0,0.715012987012987,0.27054545454545453,0.3085714285714286,0.736961038961039,0.27236363636363636,0.27428571428571424,0.7592142857142857,0.20757142857142857,0.345,0.8444128389434316,0.15421195652173914,0.19354838709677422
0.375,0.0,0.7226493506493507,0.25527272727272726,0.3085714285714286,0.736961038961039,0.27236363636363636,0.27428571428571424,0.7571428571428571,0.2117142857142857,0.345,0.8444128389434316,0.15421195652173914,0.19354838709677422
0.0,0.025,0.6996363636363637,0.30472727272727274,0.3028571428571428,0.7472207792207792,0.25527272727272726,0.26857142857142857,0.7376071428571429,0.2582857142857143,0.3325,0.828448165030388,0.1861413043478261,0.19354838709677422
0.025,0.025,0.7043636363636364,0.29527272727272724,0.3028571428571428,0.7472207792207792,0.25527272727272726,0.26857142857142857,0.7396785714285714,0.25414285714285717,0.3325,0.8311655563347359,0.18070652173913043,0.19354838709677422
0.05,0.025,0.7043636363636364,0.29527272727272724,0.3028571428571428,0.7472207792207792,0.25527272727272726,0.26857142857142857,0.7446785714285713,0.24414285714285716,0.3325,0.8444128389434316,0.15421195652173914,0.19354838709677422
0.075,0.025,0.7043636363636364,0.29527272727272724,0.3028571428571428,0.7472207792207792,0.25527272727272726,0.26857142857142857,0.7496785714285714,0.23414285714285715,0.3325,0.8444128389434316,0.15421195652173914,0.19354838709677422
