MODEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
v47,240,240,0.30000000000000004,240,0.15833333333333333,240,0.2583333333333333,,,0.7408333333333333,,False,
v48,240,240,0.2333333333333333,240,0.08333333333333334,240,0.2583333333333333,,,0.7891666666666667,,False,
