MODEL,CHANNEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
v47,clean,48,48,0.25,48,0.08333333333333334,48,0.16666666666666663,,,0.8083333333333333,,False,
v47,g711_ulaw,48,48,0.33333333333333337,48,0.08333333333333334,48,0.20833333333333337,,,0.7541666666666667,,False,
v47,g722_wb,48,48,0.2638888888888889,48,0.041666666666666644,48,0.20833333333333337,,,0.7972222222222223,,False,
v47,opus_nb_8k,48,48,0.33333333333333337,48,0.25,48,0.375,,,0.6708333333333334,,False,
v47,transcode_g711_opus,48,48,0.3194444444444444,48,0.29166666666666663,48,0.33333333333333337,,,0.6819444444444445,,False,
v48,clean,48,48,0.16666666666666663,48,0.0,48,0.16666666666666663,,,0.8666666666666667,,False,
v48,g711_ulaw,48,48,0.16666666666666663,48,0.0,48,0.20833333333333337,,,0.8541666666666667,,False,
v48,g722_wb,48,48,0.16666666666666663,48,0.0,48,0.20833333333333337,,,0.8541666666666667,,False,
v48,opus_nb_8k,48,48,0.2361111111111111,48,0.125,48,0.375,,,0.7444444444444445,,False,
v48,transcode_g711_opus,48,48,0.25,48,0.20833333333333337,48,0.33333333333333337,,,0.7333333333333333,,False,
