DATASET,VOICE_EER,MUSIC_EER,FILE_EER,ADS,METHOD
factorial_eval_1200_v2_holdout,0.18285714285714283,0.1657142857142857,0.1770909090909091,0.8251688311688312,fixed_moe
phone_factorial_1200_v1,0.16249999999999998,0.08999999999999998,0.10585714285714287,0.8875714285714286,fixed_moe
yue_cross_component_audit_v1,0.23124999999999996,0.14516129032258063,0.09578804347826086,0.8623075911640954,fixed_moe
factorial_eval_1200_v2_holdout,0.18285714285714283,0.1657142857142857,0.1770909090909091,0.8251688311688312,fixed_moe
phone_factorial_1200_v1,0.16249999999999998,0.08999999999999998,0.10585714285714287,0.8875714285714286,fixed_moe
yue_cross_component_audit_v1,0.23124999999999996,0.14516129032258063,0.09578804347826086,0.8623075911640954,fixed_moe
