epoch,loss,clean_eer,phone_eer,selection_error,seconds
0,0.6293361429233997,0.28561377651172165,0.3424078492541358,0.3239497756128512,117.64986665174365
1,0.486363967129013,0.2797465537791114,0.33161193030228925,0.3147556829322564,225.16607566270977
2,0.4353650292457893,0.2776343183455496,0.3325508974384395,0.3147030092332503,335.6556031499058
3,0.4117110257870273,0.29523598654338046,0.34780558841867093,0.3307204678092015,452.7108759051189
4,0.3825483546096679,0.30227647757340226,0.3400612025036186,0.32778116690129827,571.7141554225236
5,0.3689235808295116,0.31283754458551716,0.3447547163160411,0.3343816355036208,686.2286082776263
6,0.35640802892328005,0.29335860304955025,0.33302049116220866,0.32013037752559464,791.3605188746005
