SPLIT,KIND,EVALUATION,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,SCORE_COLUMN,LABEL_COLUMN,EER
holdout,contrast_eer,voice_only_real_vs_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.04000000000000002
holdout,contrast_eer,music_only_real_vs_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.19999999999999998
holdout,contrast_eer,concurrent__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.36
holdout,contrast_eer,concurrent__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.24
holdout,contrast_eer,concurrent__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.31999999999999995
holdout,contrast_eer,concurrent__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.28
holdout,contrast_eer,concurrent__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.52
holdout,contrast_eer,concurrent__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.4
holdout,contrast_eer,concurrent__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.36
holdout,contrast_eer,partial_overlap__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.31999999999999995
holdout,contrast_eer,partial_overlap__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.31999999999999995
holdout,contrast_eer,partial_overlap__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.28
holdout,contrast_eer,partial_overlap__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.31999999999999995
holdout,contrast_eer,partial_overlap__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.31999999999999995
holdout,contrast_eer,partial_overlap__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.36
holdout,contrast_eer,partial_overlap__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.36
holdout,contrast_eer,sequential__voice_eer__music_real,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.24
holdout,contrast_eer,sequential__voice_eer__music_fake,50,,,,,,,,,,,,VOICE_FAKE_PROB,VOICE_FAKE,0.12
holdout,contrast_eer,sequential__music_eer__voice_real,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.31999999999999995
holdout,contrast_eer,sequential__music_eer__voice_fake,50,,,,,,,,,,,,MUSIC_FAKE_PROB,MUSIC_FAKE,0.31999999999999995
holdout,contrast_eer,sequential__file_rr_vs_fake_voice_real_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.24
holdout,contrast_eer,sequential__file_rr_vs_real_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.4
holdout,contrast_eer,sequential__file_rr_vs_fake_voice_fake_music,50,,,,,,,,,,,,FILE_FAKE_PROB,FILE_FAKE,0.12
