DATASET,ANCHOR_ADS,V40_ADS,DELTA,FILE_EER,VOICE_EER,MUSIC_EER
dev,0.7403376623376623,0.7986493506493506,0.058311688311688314,0.17527272727272727,0.25142857142857145,0.2114285714285714
factorial,0.7682077922077922,0.8163636363636364,0.048155844155844174,0.17527272727272727,0.20571428571428574,0.18285714285714283
phone,0.8702142857142858,0.9025714285714286,0.03235714285714275,0.08585714285714287,0.16000000000000003,0.07499999999999998
yue,0.8664850689574568,0.8967296341748481,0.030244565217391273,0.09578804347826086,0.08333333333333334,0.12903225806451613
