EPOCH,LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER,LOSS_FILE,LOSS_LOCAL_FAKE,LOSS_PRESENCE,LOSS_CONSISTENCY
0,1.1826332807540894,0.6188095238095238,0.3498809523809524,0.4125,0.696609377861023,0.7005386352539062,0.6787728667259216,0.0
5,1.0351264476776123,0.6928869047619047,0.2548511904761905,0.359375,0.6235052943229675,0.6264861822128296,0.4918905198574066,0.0
10,0.9352363348007202,0.7144642857142858,0.23607142857142857,0.33499999999999996,0.5731597542762756,0.5891189575195312,0.3375856578350067,0.0
15,0.87119460105896,0.7393452380952381,0.2179761904761905,0.30333333333333334,0.5356748104095459,0.568996012210846,0.2551090121269226,0.0
20,0.8228944540023804,0.7537797619047619,0.20577380952380953,0.2866666666666666,0.50113445520401,0.557514488697052,0.21501347422599792,0.0
25,0.7833490371704102,0.767782738095238,0.1911011904761905,0.2733333333333333,0.4730917513370514,0.5429474115371704,0.1939176619052887,0.0
30,0.7514432072639465,0.7721279761904762,0.18907738095238097,0.2666666666666667,0.4502032697200775,0.5304160714149475,0.1801595389842987,0.0
35,0.7207583785057068,0.7735119047619048,0.1863095238095238,0.2666666666666667,0.42897987365722656,0.5155215859413147,0.17008861899375916,0.0
40,0.693836510181427,0.7776041666666667,0.18145833333333333,0.2633333333333333,0.40966925024986267,0.5031133890151978,0.16305296123027802,0.0
45,0.6705918312072754,0.7828125,0.174375,0.26,0.3927086293697357,0.4926905035972595,0.15768976509571075,0.0
50,0.6492188572883606,0.7829613095238095,0.17074404761904763,0.2633333333333333,0.37734657526016235,0.4826509952545166,0.1527339071035385,0.0
55,0.6300750970840454,0.7847321428571429,0.1705357142857143,0.26,0.3630181550979614,0.474458247423172,0.14913925528526306,0.0
60,0.6097373962402344,0.7905952380952381,0.16547619047619047,0.2533333333333333,0.3473776578903198,0.46645841002464294,0.1456526666879654,0.0
65,0.5897712707519531,0.7855059523809524,0.16565476190476192,0.2633333333333333,0.3334592580795288,0.45549118518829346,0.14283205568790436,0.0
70,0.576976478099823,0.7913095238095238,0.16404761904761905,0.2533333333333333,0.32461944222450256,0.4486757516860962,0.14009569585323334,0.0
75,0.5582281947135925,0.7918452380952381,0.16297619047619047,0.2533333333333333,0.3107093572616577,0.4401397407054901,0.13724470138549805,0.0
80,0.5455154180526733,0.7983779761904761,0.15657738095238097,0.2466666666666667,0.3019600212574005,0.433128297328949,0.13495631515979767,0.0
85,0.5309569835662842,0.7961160714285714,0.15776785714285715,0.25,0.29132789373397827,0.42600318789482117,0.13313741981983185,0.0
90,0.5219703316688538,0.8042857142857143,0.15142857142857144,0.24,0.2853734493255615,0.4208280146121979,0.13091453909873962,0.0
95,0.5106534361839294,0.8069940476190476,0.1493452380952381,0.2366666666666667,0.27775052189826965,0.41401559114456177,0.1294756829738617,0.0
100,0.49577245116233826,0.8090327380952381,0.14860119047619044,0.2333333333333333,0.26723968982696533,0.4060923755168915,0.12743283808231354,0.0
105,0.4866076409816742,0.8084077380952381,0.14985119047619047,0.2333333333333333,0.2606516480445862,0.4013613164424896,0.12637661397457123,0.0
110,0.4789801836013794,0.8106696428571429,0.14866071428571428,0.22999999999999998,0.2556818425655365,0.3965861201286316,0.12502643465995789,0.0
115,0.4691230356693268,0.8107142857142857,0.14857142857142858,0.22999999999999998,0.2499440610408783,0.3888693153858185,0.12372151762247086,0.0
