DATASET,ROWS,MUSIC_EER
factorial_eval_1200_v2,1050,0.38857142857142857
multigen_music_v2,480,0.5791666666666666
phone_factorial_1200_v1,800,0.4525
source_disjoint_music_v1,400,0.56
suno_vocals_v1,13,
temporal_mixed_train_v2,3200,0.19999999999999998
yue_cross_component_audit_v1,124,0.6774193548387097
