DATASET,N,MUSIC_EER
factorial_eval_1200_v2_holdout,350,0.39428571428571424
phone_factorial_1200_v1,800,0.48750000000000004
yue_cross_component_audit_v1,124,0.33870967741935487
suno_vocals_v1,13,
