EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_EER,WORST_EER
0,0.7611730694770813,0.7487416863441467,0.2486274093389511,0.5231547619047618,0.4636904761904762,0.49
5,0.6466150283813477,0.6187364459037781,0.557572066783905,0.5475340136054422,0.43993197278911567,0.46499999999999997
10,0.6502023339271545,0.6148496866226196,0.7070530652999878,0.49687074829931976,0.4691156462585034,0.5371428571428571
15,0.5779781937599182,0.5455165505409241,0.6492326855659485,0.5337967687074829,0.4409778911564626,0.49142857142857144
20,0.5241217017173767,0.5007602572441101,0.46722838282585144,0.5468494897959184,0.43130102040816326,0.475
25,0.5162234902381897,0.4913581311702728,0.4973073899745941,0.5325850340136055,0.43768707482993197,0.4971428571428571
30,0.49178871512413025,0.464993953704834,0.5358952879905701,0.5506164965986395,0.4244812925170068,0.4742857142857143
35,0.4742497205734253,0.4485049545764923,0.5148955583572388,0.5532015306122449,0.4185969387755102,0.475
40,0.4651806652545929,0.4403240382671356,0.4971323609352112,0.555233843537415,0.41953231292517007,0.47
45,0.45184195041656494,0.4270409345626831,0.49602043628692627,0.5571003401360545,0.41579931972789114,0.47
50,0.4435606002807617,0.41790398955345154,0.5131325125694275,0.5553231292517007,0.41435374149659865,0.475
55,0.4349626898765564,0.4090465009212494,0.5183237791061401,0.5470790816326531,0.4158418367346939,0.49
60,0.4275133013725281,0.4013465642929077,0.5233347415924072,0.5497278911564626,0.41554421768707483,0.485
65,0.42119067907333374,0.39475300908088684,0.5287533402442932,0.5552721088435375,0.4144557823129252,0.475
70,0.41492003202438354,0.38789603114128113,0.5404797196388245,0.5612840136054422,0.4124319727891156,0.46499999999999997
75,0.4093671441078186,0.3817448318004608,0.5524464845657349,0.5560076530612246,0.41298469387755105,0.475
80,0.4042928218841553,0.3761545717716217,0.5627651810646057,0.5587457482993198,0.4125085034013605,0.47
85,0.3994963765144348,0.370884507894516,0.5722372531890869,0.562249149659864,0.41050170068027214,0.46499999999999997
90,0.39500629901885986,0.3660189211368561,0.5797477960586548,0.5612074829931972,0.4125850340136054,0.46499999999999997
95,0.3908235430717468,0.36140313744544983,0.5884082317352295,0.5613775510204082,0.4122448979591837,0.46499999999999997
100,0.3868952691555023,0.3570908010005951,0.596089243888855,0.5554039115646259,0.4141921768707483,0.475
105,0.38318970799446106,0.3529890775680542,0.6040127873420715,0.5584013605442177,0.4131972789115646,0.47
110,0.37968680262565613,0.34909358620643616,0.6118645668029785,0.5579464285714286,0.41410714285714284,0.47
115,0.3763713538646698,0.3453997075557709,0.619432806968689,0.5575382653061225,0.4149234693877551,0.47
120,0.37322789430618286,0.34187957644462585,0.626966118812561,0.5577168367346939,0.4145663265306122,0.47
125,0.37024223804473877,0.33853644132614136,0.6341157555580139,0.5540561224489796,0.4168877551020408,0.475
130,0.367402046918869,0.335338294506073,0.6412748098373413,0.5533418367346938,0.41831632653061224,0.475
135,0.36469653248786926,0.3322896361351013,0.6481379866600037,0.5499872448979592,0.42002551020408163,0.48
140,0.36211615800857544,0.32936808466911316,0.6549615263938904,0.5468027210884354,0.4213945578231293,0.485
145,0.35965216159820557,0.32657238841056824,0.6615954637527466,0.5434991496598639,0.42300170068027215,0.49
150,0.3572967052459717,0.3238903880119324,0.6681265234947205,0.545999149659864,0.4230017006802721,0.485
155,0.35504263639450073,0.3213171362876892,0.67451012134552,0.5451658163265307,0.42466836734693875,0.485
160,0.3528836667537689,0.31884393095970154,0.6807947158813477,0.5416326530612245,0.42673469387755103,0.49
165,0.35081392526626587,0.3164660930633545,0.6869567632675171,0.5415433673469388,0.4269132653061224,0.49
170,0.34882819652557373,0.31417837738990784,0.6929966807365417,0.5409566326530613,0.42808673469387754,0.49
175,0.34692156314849854,0.31197458505630493,0.6989396810531616,0.5408673469387756,0.4282653061224489,0.49
180,0.34508949518203735,0.3098500370979309,0.7047889232635498,0.5441709183673469,0.4266581632653061,0.485
185,0.3433278501033783,0.30780044198036194,0.7105484008789062,0.547266156462585,0.4254676870748299,0.48
