ID,ORIGINAL_RMS,VOICE_RMS,MUSIC_RMS,VOICE_ENERGY_RATIO,MUSIC_ENERGY_RATIO,VOICE_STEM_SHARE,MUSIC_STEM_SHARE,RECONSTRUCTION_ERROR,VOICE_DOMINANT_FRACTION,MUSIC_DOMINANT_FRACTION,VOICE_FRAME_RATIO_Q50,VOICE_FRAME_RATIO_Q75,VOICE_FRAME_RATIO_Q90,VOICE_FRAME_RATIO_Q100,MUSIC_FRAME_RATIO_Q50,MUSIC_FRAME_RATIO_Q75,MUSIC_FRAME_RATIO_Q90,MUSIC_FRAME_RATIO_Q100
factorial_0000,0.08552257880831042,0.08566632225875995,0.0013676224899251358,1.0033643434378368,0.0002557236450320374,0.999745185133163,0.0002548012439524375,0.01915064658775394,1.0,0.0,1.0010172768090102,1.003266638596459,1.0058108625919782,1.0089544673926867,0.017091079321191992,0.020507559164893968,0.02734440605167126,0.10778991800295414
factorial_0004,0.11964694531207987,0.11973592961585566,0.0006704035755590622,1.0014879941131205,3.1395645049318925e-05,0.999968645010132,3.134801497744206e-05,0.0050007250394816785,1.0,0.0,0.9986521063883451,0.9997084363953361,1.0009767396772424,1.0049946450130094,0.008422069093062838,0.11357850474503733,0.19613428613121262,0.2389735519917673
factorial_0008,0.08724451967581276,0.08724100434090654,0.0003452262584413763,0.9999194026821747,1.565782104450493e-05,0.9999843280235998,1.5658837715823198e-05,0.004638160751161575,1.0,0.0,0.9992701671753715,1.0002311994902764,1.0014352621529987,1.0028846415539143,0.003967364583007211,0.004311524401568042,0.0056690101547578605,0.10772637920192812
factorial_0012,0.09683491552498577,0.09683319646007042,0.0004015262405062461,0.999964484587579,1.7193484614267884e-05,0.9999827955359599,1.7193799454458823e-05,0.0048015594718592465,0.8181818181818182,0.18181818181818182,0.9996184607725478,1.0008501928096434,4.606036588354292,415279.29957473296,0.006389982615994168,0.04879550820622744,6.526378311506872,641090.3839116791
factorial_0016,0.04855226469236889,0.04813120323844052,0.003843581682146846,0.9827304997678177,0.006266906672711925,0.9936633313858035,0.006336625721255325,0.024353090349902004,0.8636363636363636,0.13636363636363635,0.9960537477331313,0.9986501462757069,0.9992794754739754,1.0001301218538703,0.026184140707592493,0.3200255265342649,0.6998308010027546,0.7564288703772502
factorial_0020,0.0639727386449304,0.06378311478987041,0.0006297115666971368,0.9940804911391172,9.689323241152291e-05,0.9999025147157571,9.746070626152302e-05,0.015040133494875275,1.0,0.0,0.9975709161541817,0.9985759651061187,0.9992053427219889,1.1107401318844605,0.010439528562467895,0.01246237357200303,0.014773218129574613,0.17894078917795847
factorial_0024,0.022939402674054754,0.02290440523432154,0.000232753705837479,0.9969508433708137,0.00010295060812723686,0.9998965546041586,0.00010325479841390609,0.015157848293995958,1.0,0.0,0.9989056682278624,0.9999333707446714,1.0006696480146586,1.0027936768170607,0.011966084089538602,0.01469983686154087,0.058350990260244005,0.380222594980014
factorial_0028,0.24658738690909518,0.08886837686992162,0.22406341993269677,0.12988313978161636,0.8256580191655107,0.1359262637113258,0.8640737345675632,0.037594414032749816,0.10638297872340426,0.8936170212765957,0.01513668283222149,0.5453055642217585,0.6780598495550304,0.7185288605542253,0.9859482233965337,0.9957747264825271,0.9991103894669093,1.0033330761373724
factorial_0032,0.04913050786438786,0.01911793859787721,0.044446675292380104,0.1514187302124406,0.8184196267235122,0.15612779455610418,0.8438721627271559,0.04917272876701105,0.0,1.0,0.3895131520937879,0.4972300646147742,0.5600470456714223,0.6209634632709136,0.8889446663458919,0.9745706158775422,0.9984814891586477,0.9999017947890169
factorial_0036,0.07017949391507698,0.00012480283046409552,0.06992645525387696,3.162484438087281e-06,0.9928017950178203,3.1854034868716543e-06,0.9999967941454646,0.014346390882480643,0.0,1.0,0.0017183117882844175,0.0019458723091768514,0.0022418859759669695,0.0025161274709279884,0.9963843314016775,0.9967164321587271,0.997299154147678,0.9991476498411224
