DATASET,N,ANCHOR_MUSIC_EER,EXPERT_MUSIC_EER,FROZEN_MUSIC_EER,DELTA
external_mixed_v1,400,0.125,0.09499999999999999,0.10999999999999999,-0.015000000000000013
factorial_eval_1200_v2_dev,350,0.2114285714285714,0.22285714285714286,0.20571428571428574,-0.005714285714285672
mixfake_music_dev_v1,1600,0.07625000000000001,0.047499999999999994,0.06499999999999997,-0.011250000000000038
source_disjoint_mixed_equal_v1,200,0.14,0.04000000000000002,0.10999999999999999,-0.030000000000000027
source_disjoint_mixed_v1,200,0.16000000000000003,0.06999999999999998,0.12,-0.040000000000000036
source_disjoint_music_v1,400,0.050000000000000024,0.015000000000000006,0.030000000000000013,-0.02000000000000001
telephone_mixed_dev_v1,600,0.18666666666666665,0.17000000000000004,0.17000000000000004,-0.016666666666666607
