EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_EER,WORST_EER
0,0.738034725189209,0.7246686220169067,0.2673223912715912,0.4702295918367347,0.5052551020408164,0.5542857142857143
5,0.739306628704071,0.6598057746887207,1.5900167226791382,0.5384821428571429,0.42303571428571424,0.5
10,0.5262966752052307,0.4814295470714569,0.8973420262336731,0.6016198979591836,0.36676020408163273,0.43000000000000005
15,0.5073950886726379,0.45772382616996765,0.9934256672859192,0.6262670068027211,0.3360374149659863,0.4114285714285715
20,0.4444934129714966,0.39784732460975647,0.9329218864440918,0.6649319727891156,0.30388605442176875,0.36624999999999996
25,0.3737843334674835,0.3319071829319,0.8375431895256042,0.6705442176870748,0.2964115646258504,0.36250000000000004
30,0.3439640402793884,0.3076735734939575,0.7258092164993286,0.6788605442176872,0.2922789115646259,0.35
35,0.331669420003891,0.2916586101055145,0.800216019153595,0.6799489795918368,0.28510204081632656,0.355
40,0.3111708164215088,0.27302229404449463,0.7629703879356384,0.6931122448979592,0.27252551020408167,0.34125000000000005
45,0.29550039768218994,0.2600480020046234,0.7090478539466858,0.6912755102040816,0.27869897959183676,0.33875
50,0.2832590341567993,0.24666905403137207,0.7317996621131897,0.6954931972789116,0.2765136054421769,0.3325
55,0.2740580141544342,0.23820674419403076,0.7170252799987793,0.697687074829932,0.26962585034013603,0.33499999999999996
60,0.26572826504707336,0.2293684035539627,0.7271974086761475,0.6960204081632653,0.27420918367346936,0.33375
65,0.2582983374595642,0.22243934869766235,0.7171797156333923,0.6989285714285715,0.2671428571428572,0.33499999999999996
70,0.2516539394855499,0.2157098799943924,0.7188812494277954,0.699234693877551,0.26778061224489796,0.33375
75,0.2454623281955719,0.20949441194534302,0.7193583846092224,0.7021938775510204,0.26811224489795915,0.3275
80,0.23979295790195465,0.2035931646823883,0.7239957451820374,0.704047619047619,0.26690476190476187,0.32499999999999996
85,0.2346370667219162,0.19830086827278137,0.7267240285873413,0.7042857142857143,0.26767857142857143,0.32375
90,0.2298699915409088,0.19325095415115356,0.7323808670043945,0.7057142857142857,0.2660714285714286,0.3225
95,0.2254198044538498,0.18868474662303925,0.7347011566162109,0.7075510204081632,0.2636479591836735,0.32125000000000004
100,0.22126559913158417,0.18430836498737335,0.7391446828842163,0.7096938775510204,0.2606122448979592,0.31999999999999995
105,0.21738053858280182,0.18030878901481628,0.7414348721504211,0.7101700680272109,0.2621598639455782,0.3175
110,0.21373189985752106,0.17647284269332886,0.7451812028884888,0.7093877551020409,0.26122448979591834,0.31999999999999995
115,0.21029485762119293,0.1728721261024475,0.7484545707702637,0.709812925170068,0.262874149659864,0.3175
120,0.20705059170722961,0.16947658360004425,0.7514801025390625,0.7126700680272109,0.2621598639455783,0.3125
125,0.20398133993148804,0.16626428067684174,0.754341185092926,0.7145748299319727,0.2608503401360544,0.31000000000000005
130,0.2010718137025833,0.16322748363018036,0.7568866014480591,0.7142176870748299,0.2590646258503401,0.3125
135,0.19830924272537231,0.16033318638801575,0.7595211863517761,0.7145748299319727,0.25960034013605443,0.31125
140,0.19568206369876862,0.1575932502746582,0.7617762088775635,0.7151700680272108,0.2596598639455783,0.31000000000000005
145,0.19317974150180817,0.15497983992099762,0.7639979720115662,0.7149617346938775,0.2600765306122449,0.31000000000000005
150,0.1907927542924881,0.15249775350093842,0.7659000754356384,0.7153188775510204,0.25936224489795917,0.31000000000000005
155,0.1885126531124115,0.15012137591838837,0.7678254246711731,0.7157270408163265,0.2585459183673469,0.31000000000000005
160,0.18633189797401428,0.1478596031665802,0.7694459557533264,0.7151403061224489,0.25971938775510206,0.31000000000000005
165,0.18424372375011444,0.14568911492824554,0.7710921764373779,0.7151403061224489,0.25971938775510206,0.31000000000000005
170,0.1822417974472046,0.1436159461736679,0.7725169658660889,0.7155867346938776,0.2588265306122449,0.31000000000000005
175,0.18032047152519226,0.1416264772415161,0.773879885673523,0.7155867346938776,0.2588265306122449,0.31000000000000005
180,0.178474560379982,0.13972075283527374,0.7750760316848755,0.7156760204081632,0.2586479591836735,0.31000000000000005
185,0.17669926583766937,0.1378895789384842,0.7761937379837036,0.7153188775510204,0.2593622448979592,0.31000000000000005
190,0.17499028146266937,0.13613125681877136,0.777180552482605,0.7169047619047619,0.25952380952380955,0.30666666666666664
195,0.17334364354610443,0.13444052636623383,0.7780623435974121,0.7169047619047619,0.25952380952380955,0.30666666666666664
200,0.17175564169883728,0.13281308114528656,0.7788511514663696,0.7138095238095238,0.2590476190476191,0.31333333333333335
205,0.1702229082584381,0.13124623894691467,0.7795335054397583,0.7116369047619048,0.2600595238095238,0.31666666666666665
210,0.16874240338802338,0.12973584234714508,0.7801312804222107,0.7116369047619048,0.2600595238095238,0.31666666666666665
215,0.16731128096580505,0.12827928364276886,0.7806400060653687,0.7103358843537415,0.26266156462585033,0.31666666666666665
220,0.1659269630908966,0.12687264382839203,0.7810862064361572,0.7111011904761905,0.2611309523809524,0.31666666666666665
225,0.16458691656589508,0.1255139410495758,0.7814594507217407,0.7111011904761905,0.2611309523809524,0.31666666666666665
230,0.1632889062166214,0.12420057505369186,0.7817665934562683,0.7111011904761905,0.2611309523809524,0.31666666666666665
235,0.16203075647354126,0.12293016910552979,0.782011866569519,0.7111904761904762,0.26095238095238094,0.31666666666666665
240,0.1608104556798935,0.12170049548149109,0.7821992635726929,0.7124702380952381,0.26172619047619045,0.31333333333333335
245,0.15962614119052887,0.12050968408584595,0.7823291420936584,0.7129676870748298,0.26073129251700683,0.31333333333333335
250,0.1584761142730713,0.1193559467792511,0.7824033498764038,0.7126998299319728,0.2612670068027211,0.31333333333333335
255,0.15735875070095062,0.11823718994855881,0.7824312448501587,0.713890306122449,0.26221938775510206,0.31000000000000005
260,0.1562725454568863,0.11715172976255417,0.7824162244796753,0.7131377551020408,0.2637244897959184,0.31000000000000005
265,0.15521609783172607,0.11609826236963272,0.7823567390441895,0.7131377551020408,0.2637244897959184,0.31000000000000005
270,0.15418806672096252,0.11507555097341537,0.7822503447532654,0.7131377551020408,0.2637244897959184,0.31000000000000005
275,0.15318720042705536,0.11408226937055588,0.782098650932312,0.7133163265306122,0.26336734693877556,0.31000000000000005
280,0.15221232175827026,0.11311706900596619,0.7819051146507263,0.7101998299319727,0.2662670068027211,0.31333333333333335
285,0.1512623429298401,0.11217879503965378,0.7816709280014038,0.7099319727891156,0.2668027210884354,0.31333333333333335
290,0.15033622086048126,0.11126641184091568,0.781396210193634,0.7100212585034014,0.2666241496598639,0.31333333333333335
