BASE,OR_WEIGHT,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
v18,0.0,factorial,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
v18,0.0,phone,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,,,0.7338571428571429,,
v18,0.0,yue,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
v18,0.05,factorial,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
v18,0.05,phone,1200,1200,800,800,0.25414285714285717,0.16749999999999998,0.345,,,0.7359285714285714,,
v18,0.05,yue,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
v18,0.1,factorial,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
v18,0.1,phone,1200,1200,800,800,0.24585714285714283,0.16749999999999998,0.345,,,0.7400714285714286,,
v18,0.1,yue,124,124,108,124,0.15964673913043476,0.10208333333333333,0.19354838709677422,,,0.8416954476390837,,
v18,0.15,factorial,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
v18,0.15,phone,1200,1200,800,800,0.24585714285714283,0.16749999999999998,0.345,,,0.7400714285714286,,
v18,0.15,yue,124,124,108,124,0.15421195652173914,0.10208333333333333,0.19354838709677422,,,0.8444128389434316,,
v18,0.2,factorial,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
v18,0.2,phone,1200,1200,800,800,0.23828571428571427,0.16749999999999998,0.345,,,0.7438571428571429,,
v18,0.2,yue,124,124,108,124,0.15421195652173914,0.10208333333333333,0.19354838709677422,,,0.8444128389434316,,
v18,0.3,factorial,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,,,0.7455064935064936,,
v18,0.3,phone,1200,1200,800,800,0.23242857142857143,0.16749999999999998,0.345,,,0.7467857142857143,,
