DATASET,GROUP,VALUE,TASK,MODEL,N,POS,EER,AUC
factorial,CHANNEL,mp3_64k,VOICE,fused05,59,29,0.20344827586206896,0.8298850574712644
factorial,CHANNEL,mp3_64k,VOICE,fused15,59,29,0.20344827586206896,0.8298850574712644
factorial,CHANNEL,mp3_64k,MUSIC,v18,58,28,0.32738095238095233,0.7738095238095238
factorial,CHANNEL,mp3_64k,MUSIC,patch,58,28,0.20714285714285716,0.861904761904762
factorial,CHANNEL,mp3_64k,MUSIC,fused05,58,28,0.24166666666666667,0.8345238095238094
factorial,CHANNEL,mp3_64k,MUSIC,fused15,58,28,0.17261904761904762,0.8857142857142857
factorial,CHANNEL,noisy_flac,FILE,v18,67,47,0.19574468085106386,0.8574468085106385
factorial,CHANNEL,noisy_flac,FILE,patch,67,47,0.298936170212766,0.8276595744680852
factorial,CHANNEL,noisy_flac,FILE,fused05,67,47,0.19574468085106386,0.8691489361702127
factorial,CHANNEL,noisy_flac,FILE,fused15,67,47,0.16010638297872343,0.8978723404255319
factorial,CHANNEL,noisy_flac,VOICE,v18,58,29,0.1724137931034483,0.8668252080856124
factorial,CHANNEL,noisy_flac,VOICE,patch,58,29,0.4137931034482759,0.708680142687277
factorial,CHANNEL,noisy_flac,VOICE,fused05,58,29,0.1724137931034483,0.8668252080856124
factorial,CHANNEL,noisy_flac,VOICE,fused15,58,29,0.1724137931034483,0.8668252080856124
factorial,CHANNEL,noisy_flac,MUSIC,v18,59,31,0.2540322580645161,0.837557603686636
factorial,CHANNEL,noisy_flac,MUSIC,patch,59,31,0.1359447004608295,0.9297235023041472
factorial,CHANNEL,noisy_flac,MUSIC,fused05,59,31,0.22004608294930877,0.8928571428571429
factorial,CHANNEL,noisy_flac,MUSIC,fused15,59,31,0.1359447004608295,0.9274193548387096
factorial,CHANNEL,ogg_48k,FILE,v18,67,46,0.24948240165631472,0.7960662525879917
factorial,CHANNEL,ogg_48k,FILE,patch,67,46,0.18219461697722567,0.8850931677018634
factorial,CHANNEL,ogg_48k,FILE,fused05,67,46,0.23861283643892336,0.8271221532091098
factorial,CHANNEL,ogg_48k,FILE,fused15,67,46,0.23861283643892336,0.8757763975155279
factorial,CHANNEL,ogg_48k,VOICE,v18,58,29,0.24137931034482762,0.8323424494649228
factorial,CHANNEL,ogg_48k,VOICE,patch,58,29,0.27586206896551724,0.8394768133174793
factorial,CHANNEL,ogg_48k,VOICE,fused05,58,29,0.24137931034482762,0.8323424494649228
factorial,CHANNEL,ogg_48k,VOICE,fused15,58,29,0.24137931034482762,0.8323424494649228
factorial,CHANNEL,ogg_48k,MUSIC,v18,59,30,0.20344827586206893,0.8494252873563218
