MUSIC_GENERATOR,SOURCES,PANNS_FLAGS,DEMUCS_FLAGS,PASSES,MAX_PANNS_VOICE
MusicGen_medium,24,0,0,24,0.12254507094621658
audioldm2,24,1,1,23,0.25249984860420227
musicldm,24,0,0,24,0.04493853822350502
mustango,24,1,0,23,0.2025795429944992
stable_audio_open,24,1,1,23,0.20606163144111633
