epoch,loss,clean_eer,phone_eer,selection_error,seconds
0,0.7471610145610675,0.1912293549577871,0.30093237595113065,0.265278894128294,272.36532280314714
1,0.5609692604395381,0.11143113159242193,0.23874867526405413,0.1973704735707737,516.0317553756759
2,0.5052121546097667,0.10050280427249667,0.23939467009609544,0.19425481370342584,748.6826264448464
3,0.47596734544338537,0.09439264578049272,0.206469772204956,0.17004470611700542,978.5468041338027
4,0.4467708573442454,0.08159629193012541,0.20582377737291468,0.16544984460400816,1171.2352576758713
5,0.44884824489205205,0.09561467747889354,0.21560003096012098,0.17660479107872207,1356.0864054495469
6,0.43251774107155044,0.08526238702532779,0.2028036771097536,0.1646027578323152,1536.1526081161574
7,0.43334627883476123,0.09561467747889354,0.19913758201455123,0.1654926380404625,1721.496434090659
8,0.41450510134822444,0.08404035532692697,0.20035961371295202,0.16255585473749387,1937.7616084385663
9,0.4035666145558594,0.08037426023172459,0.2040257088081544,0.1638389880208147,2160.231495144777
10,0.39038577057116214,0.08526238702532779,0.20948987246811707,0.16911593969921054,2362.3994332309812
11,0.36495516616960016,0.07246603317496039,0.21128794103287724,0.16617082097905428,2560.3433820046484
12,0.3665967859240652,0.08281832362852616,0.19913758201455123,0.16133382303909308,2778.6214170111343
13,0.36582867709691064,0.07979822336536516,0.20460174567451386,0.16404060092404055,2979.232598955743
14,0.35007745870634127,0.07857619166696433,0.19669351861774967,0.15830538735874444,3185.639925901778
