MODEL,CHANNEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
anchor,clean,48,48,0.08333333333333334,48,0.041666666666666644,48,0.16666666666666663,,,0.9,,False,
anchor,g711_ulaw,48,48,0.25,48,0.041666666666666644,48,0.20833333333333337,,,0.8041666666666667,,False,
anchor,g722_wb,48,48,0.09722222222222224,48,0.041666666666666644,48,0.125,,,0.9055555555555557,,False,
anchor,opus_nb_8k,48,48,0.41666666666666663,48,0.20833333333333337,48,0.20833333333333337,,,0.6875,,False,
anchor,transcode_g711_opus,48,48,0.2638888888888889,48,0.25,48,0.20833333333333337,,,0.7555555555555555,,False,
voice_mil_v53,clean,48,48,0.08333333333333334,48,0.041666666666666644,48,0.16666666666666663,,,0.9,,False,
voice_mil_v53,g711_ulaw,48,48,0.25,48,0.041666666666666644,48,0.20833333333333337,,,0.8041666666666667,,False,
voice_mil_v53,g722_wb,48,48,0.09722222222222224,48,0.041666666666666644,48,0.125,,,0.9055555555555557,,False,
voice_mil_v53,opus_nb_8k,48,48,0.41666666666666663,48,0.25,48,0.20833333333333337,,,0.6791666666666667,,False,
voice_mil_v53,transcode_g711_opus,48,48,0.2638888888888889,48,0.29166666666666663,48,0.20833333333333337,,,0.7472222222222222,,False,
