EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.48094598014387935,0.7034176716141002,0.7138556998556999,0.6304675324675325
2,0.21892238873014883,0.7574015151515152,0.7586771284271284,0.6898961038961039
4,0.157188397484997,0.7664476783137497,0.7816712061087062,0.6922077922077923
6,0.1266885221990974,0.7845181277056277,0.7832266414141414,0.7118181818181818
8,0.10364593843238279,0.7810424010513297,0.7867600108225109,0.700935064935065
10,0.08454009812675702,0.776353470933828,0.7738070887445887,0.7144675324675325
12,0.08458442854263433,0.7935232297464441,0.7884944985569987,0.7226753246753247
14,0.07416688567773806,0.7816284142444857,0.7805379088504089,0.7173246753246754
16,0.06908511439215015,0.7661118197278911,0.7844712301587302,0.6822857142857144
18,0.06502792180778673,0.7715986136878994,0.7787991822991822,0.6973506493506494
20,0.06142454286745201,0.7747519712430426,0.7825718795093795,0.7003896103896103
22,0.05486627909572282,0.7869770408163265,0.786295634920635,0.7308571428571429
24,0.05189885175705787,0.6621927179962894,0.7168603896103897,0.5820000000000001
26,0.047214408813998465,0.693927682436611,0.7262419733044734,0.622
28,0.0429670157832603,0.7400953025149454,0.7696628487253488,0.6689999999999999
30,0.0461406709256384,0.7487272340754485,0.7578556096681098,0.6646666666666667
32,0.04152372943477556,0.7733347763347764,0.7731307118807118,0.7015064935064935
