DATASET,N,MUSIC_EER
factorial_eval_1200_v2_holdout,350,0.2857142857142857
phone_factorial_1200_v1,800,0.1925
yue_cross_component_audit_v1,124,0.19354838709677422
suno_vocals_v1,13,
