EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_EER,WORST_EER
0,0.7744104862213135,0.7610601782798767,0.26700669527053833,0.46856292517006803,0.5085884353741497,0.5542857142857143
5,1.7449678182601929,1.6092537641525269,2.7142820358276367,0.5774744897959183,0.4050510204081633,0.43999999999999995
10,1.0560334920883179,0.9767267107963562,1.5861345529556274,0.5692006802721088,0.4053486394557823,0.45625000000000004
15,0.7834159731864929,0.7380309104919434,0.9077010750770569,0.630531462585034,0.32893707482993195,0.41000000000000003
20,0.636841893196106,0.6048341989517212,0.640153706073761,0.6561692176870748,0.29432823129251695,0.3933333333333333
25,0.6340800523757935,0.5944420695304871,0.7927600741386414,0.6733375850340135,0.3033248299319728,0.35
30,0.5641114711761475,0.529236912727356,0.6974911093711853,0.6558758503401361,0.30324829931972797,0.385
35,0.4994293451309204,0.4706822335720062,0.5749422311782837,0.6887202380952381,0.2775595238095238,0.345
40,0.47613659501075745,0.44635745882987976,0.5955827832221985,0.7058503401360544,0.2649659863945578,0.32333333333333336
45,0.45839715003967285,0.4314891993999481,0.5381590127944946,0.7129974489795918,0.25400510204081633,0.31999999999999995
50,0.4373040795326233,0.41052553057670593,0.5355706810951233,0.7249872448979592,0.25002551020408165,0.30000000000000004
55,0.42345717549324036,0.3975261151790619,0.5186213850975037,0.723265306122449,0.24346938775510205,0.31000000000000005
60,0.41452255845069885,0.38885197043418884,0.5134115219116211,0.7325510204081632,0.23489795918367345,0.30000000000000004
65,0.4055417776107788,0.37914183735847473,0.5279991030693054,0.732423469387755,0.23515306122448984,0.30000000000000004
70,0.39693182706832886,0.37119725346565247,0.5146916508674622,0.7317899659863946,0.2297534013605442,0.30666666666666664
75,0.3893187642097473,0.36340925097465515,0.5181905627250671,0.7420068027210884,0.22931972789115646,0.2866666666666666
80,0.3826112151145935,0.3567446172237396,0.5173316597938538,0.7354209183673469,0.22915816326530614,0.30000000000000004
85,0.3765017092227936,0.35043594241142273,0.5213153958320618,0.7390136054421769,0.2286394557823129,0.29333333333333333
90,0.3707939386367798,0.3443395495414734,0.5290877223014832,0.7409778911564626,0.2247108843537415,0.29333333333333333
95,0.3654184937477112,0.33885547518730164,0.5312604904174805,0.7476955782312925,0.2179421768707483,0.2866666666666666
100,0.3603284955024719,0.333360880613327,0.5393524169921875,0.7459991496598639,0.2213350340136054,0.2866666666666666
105,0.35551536083221436,0.3283691704273224,0.5429235696792603,0.7456802721088436,0.22197278911564622,0.2866666666666666
110,0.35095372796058655,0.32349953055381775,0.5490840077400208,0.7457695578231293,0.22179421768707483,0.2866666666666666
115,0.3466106653213501,0.3188706636428833,0.5548001527786255,0.7436862244897959,0.22262755102040815,0.29000000000000004
120,0.3424645960330963,0.31443431973457336,0.5606054067611694,0.7448469387755102,0.22030612244897957,0.29000000000000004
125,0.3384990692138672,0.31016668677330017,0.5666478872299194,0.742406462585034,0.22185374149659864,0.29333333333333333
130,0.3346991539001465,0.30610907077789307,0.5718019008636475,0.7440051020408163,0.22198979591836737,0.29000000000000004
135,0.3310531675815582,0.3021789491176605,0.5774844288825989,0.7447874149659864,0.22375850340136053,0.2866666666666666
140,0.3275502920150757,0.2984231412410736,0.5825429558753967,0.7447874149659864,0.22375850340136053,0.2866666666666666
145,0.32418110966682434,0.2947894334793091,0.5878337621688843,0.7470493197278911,0.22256802721088434,0.2833333333333333
150,0.32093703746795654,0.29130375385284424,0.5926653742790222,0.7458886054421769,0.2248894557823129,0.2833333333333333
155,0.31780990958213806,0.28792670369148254,0.5976642370223999,0.7482015306122449,0.22359693877551018,0.28
160,0.31479257345199585,0.2846740186214447,0.602371096611023,0.7481122448979591,0.22377551020408165,0.28
165,0.311878502368927,0.2815251648426056,0.607066810131073,0.749234693877551,0.22153061224489795,0.28
170,0.30906161665916443,0.2784823775291443,0.6115846633911133,0.7493239795918367,0.22135204081632653,0.28
175,0.30633628368377686,0.2755354344844818,0.6160168051719666,0.7489668367346939,0.22206632653061226,0.28
180,0.30369749665260315,0.2726808786392212,0.6203324198722839,0.7516751700680272,0.21998299319727893,0.2766666666666666
185,0.30114078521728516,0.2699143588542938,0.6245285272598267,0.7501785714285714,0.21964285714285717,0.28
190,0.29866185784339905,0.2672288119792938,0.6286606788635254,0.7498214285714285,0.22035714285714286,0.28
195,0.2962566912174225,0.26462337374687195,0.6326665282249451,0.7500892857142857,0.21982142857142856,0.28
200,0.29392188787460327,0.26209110021591187,0.6366154551506042,0.7505867346938775,0.21882653061224494,0.28
205,0.29165390133857727,0.25963085889816284,0.6404606699943542,0.7505867346938775,0.21882653061224494,0.28
210,0.2894495129585266,0.25723764300346375,0.6442376375198364,0.7507355442176871,0.21852891156462584,0.28
215,0.2873058021068573,0.2549099624156952,0.6479165554046631,0.7511522108843537,0.21769557823129254,0.28
220,0.2852199673652649,0.2526437044143677,0.6515254974365234,0.7508928571428571,0.21821428571428572,0.28
225,0.2831892967224121,0.2504366636276245,0.655052661895752,0.7508035714285715,0.2183928571428571,0.28
230,0.2812114655971527,0.24828575551509857,0.6585143208503723,0.7537499999999999,0.2175,0.275
235,0.27928417921066284,0.2461889535188675,0.6619045734405518,0.7538392857142857,0.21732142857142858,0.275
240,0.2774052917957306,0.2441435605287552,0.6652345657348633,0.7536904761904761,0.21761904761904757,0.275
245,0.275572806596756,0.24214795231819153,0.6684973239898682,0.7536011904761906,0.21779761904761902,0.275
250,0.273784875869751,0.24019987881183624,0.6717000603675842,0.7536011904761906,0.21779761904761902,0.275
255,0.2720396816730499,0.23829768598079681,0.6748397350311279,0.753422619047619,0.21815476190476188,0.275
260,0.27033552527427673,0.23643945157527924,0.6779214143753052,0.753422619047619,0.21815476190476188,0.275
