DATASET,N,MUSIC_EER,MEMBER
multigen_music_presence_train_v1,474,0.03162393162393162,content_seed00
phone_presence_factorial_train_v1,2000,0.08450380152060825,content_seed00
multigen_music_presence_train_v1,474,0.02110042735042737,content_seed02
phone_presence_factorial_train_v1,2000,0.062494997999199664,content_seed02
