DATASET,MODEL,FILE_EER,VOICE_EER,MUSIC_EER,ADS,CPS,SCORE,concurrent_VFMR_FILE_EER,partial_overlap_VFMR_FILE_EER,sequential_VFMR_FILE_EER
factorial,current,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.7758181818181819,0.9958571428571428,0.7978220779220779,0.43999999999999995,0.28,0.19999999999999998
factorial,hybrid,0.20945454545454545,0.22285714285714286,0.2114285714285714,0.7872727272727272,0.9958571428571428,0.8081311688311688,0.36,0.19999999999999998,0.24
factorial,hybrid_conservative,0.21709090909090906,0.22285714285714286,0.2114285714285714,0.7834545454545455,0.9958571428571428,0.8046948051948053,0.4,0.28,0.24
phone,current,0.1782857142857143,0.16749999999999998,0.17000000000000004,0.8263571428571429,0.9703312500000001,0.8407545535714287,,,
phone,hybrid,0.14,0.16749999999999998,0.17000000000000004,0.8455,0.9703312500000001,0.8579831250000001,,,
phone,hybrid_conservative,0.16000000000000003,0.16749999999999998,0.17000000000000004,0.8355,0.9703312500000001,0.8489831250000001,,,
yue,current,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.8652162225338944,,,,,
yue,hybrid,0.09578804347826086,0.10208333333333333,0.17741935483870966,0.87846350514259,,,,,
yue,hybrid_conservative,0.12228260869565216,0.10208333333333333,0.17741935483870966,0.8652162225338944,,,,,
