EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER
0,0.7021462917327881,0.6933298707008362,0.17632830142974854,0.5174319727891157,0.46180272108843534,0.5033333333333334
5,0.5635871887207031,0.453890860080719,2.1939260959625244,0.6625977891156463,0.2690901360544217,0.4057142857142857
10,0.5302881598472595,0.4034893214702606,2.5359766483306885,0.7229209183673471,0.2113010204081633,0.34285714285714286
15,0.42799484729766846,0.29462099075317383,2.6674768924713135,0.7453698979591836,0.2006887755102041,0.3085714285714286
20,0.31830495595932007,0.20676681399345398,2.230762481689453,0.7753103741496599,0.18080782312925173,0.26857142857142857
25,0.2413783222436905,0.14640165865421295,1.8995332717895508,0.7947151360544218,0.17723639455782317,0.2333333333333333
30,0.19753383100032806,0.1134570837020874,1.6815348863601685,0.7958460884353742,0.17164115646258502,0.2366666666666667
35,0.18125289678573608,0.1041872650384903,1.541312575340271,0.7806207482993197,0.1816156462585034,0.2571428571428571
40,0.17247101664543152,0.10352269560098648,1.3789665699005127,0.7881972789115647,0.18027210884353745,0.24333333333333332
45,0.14956651628017426,0.08949235826730728,1.2014832496643066,0.7880059523809524,0.1806547619047619,0.24333333333333332
50,0.14008018374443054,0.08736725151538849,1.0542587041854858,0.7748384353741498,0.1903231292517007,0.26
55,0.1306808590888977,0.08412214368581772,0.9311743378639221,0.7689880952380952,0.19202380952380954,0.27
60,0.1255800724029541,0.08234334737062454,0.8647346496582031,0.7748724489795918,0.19025510204081633,0.26
65,0.1191384494304657,0.07895927131175995,0.8035835027694702,0.7753188775510205,0.18936224489795922,0.26
70,0.11489665508270264,0.07636306434869766,0.7706718444824219,0.7772746598639455,0.18545068027210881,0.26
75,0.11154061555862427,0.07461051642894745,0.7386019825935364,0.7833163265306122,0.1833673469387755,0.25
80,0.10831934213638306,0.07266590744256973,0.7130686640739441,0.7845535714285714,0.18089285714285716,0.25
85,0.10538192093372345,0.07095430791378021,0.6885522603988647,0.7822916666666667,0.18208333333333337,0.2533333333333333
90,0.10274024307727814,0.06935375928878784,0.6677295565605164,0.7818452380952381,0.18297619047619046,0.2533333333333333
95,0.1003173217177391,0.06770627200603485,0.6522209644317627,0.7819345238095239,0.18279761904761907,0.2533333333333333
100,0.09808032214641571,0.06623457372188568,0.6369149684906006,0.7803869047619048,0.18255952380952387,0.2566666666666667
105,0.09601230919361115,0.06478960067033768,0.6244540810585022,0.7803869047619048,0.18255952380952387,0.2566666666666667
110,0.09406950324773788,0.06339035928249359,0.6135828495025635,0.7811011904761904,0.1811309523809524,0.2566666666666667
115,0.09223830699920654,0.062062617391347885,0.6035137176513672,0.7811011904761904,0.1811309523809524,0.2566666666666667
120,0.0905110165476799,0.06081278994679451,0.5939645171165466,0.7806037414965986,0.18212585034013604,0.2566666666666667
125,0.08887503296136856,0.059612952172756195,0.5852416157722473,0.7795323129251701,0.1842687074829932,0.2566666666666667
130,0.0873231291770935,0.058475516736507416,0.5769521594047546,0.7795323129251701,0.1842687074829932,0.2566666666666667
