EPOCH,LOSS,SELECTION,MEAN_ADS,WORST_ADS
0,0.6071972137110101,0.6704715909090908,0.7068133116883116,0.6341298701298701
2,0.34299390493995613,0.6966796085858586,0.7530215548340548,0.6403376623376624
4,0.25283270608633757,0.7176685606060607,0.7642981601731602,0.6710389610389611
6,0.19940800726827648,0.7188625841750842,0.773361531986532,0.6643636363636364
8,0.17392001813277602,0.7166868686868686,0.768958152958153,0.6644155844155843
10,0.14427343921528923,0.72428125,0.7771339285714284,0.6714285714285715
12,0.12920632254746225,0.7256796085858586,0.7824501262626261,0.6689090909090909
14,0.11033830248440306,0.7298121843434344,0.786845147907648,0.6727792207792207
16,0.10750437095864779,0.7210539772727274,0.7773547077922078,0.6647532467532468
18,0.08170492574572563,0.7155123106060606,0.7902713744588744,0.6407532467532467
20,0.0783655858443429,0.7325713383838384,0.78438943001443,0.6807532467532468
22,0.062258871789607734,0.7330261994949496,0.791013437950938,0.6750389610389611
24,0.07134908228181303,0.7319070917508417,0.7904635341510341,0.6733506493506493
26,0.058942076349113554,0.7348892045454545,0.791700487012987,0.6780779220779221
28,0.05793463114079916,0.7424094065656566,0.7960395923520923,0.6887792207792208
30,0.056481824023649096,0.7310419823232324,0.7948631854256855,0.6672207792207793
32,0.04987005524647733,0.7327779882154882,0.7892183140933141,0.6763376623376623
34,0.04667178509084301,0.7334750631313132,0.7911059704184704,0.6758441558441559
36,0.03424319767832963,0.7389024621212121,0.7953114177489177,0.6824935064935065
38,0.03825164747993565,0.7471929713804714,0.8021781505531506,0.6922077922077922
40,0.03075069964527049,0.7376265782828282,0.7902921176046176,0.6849610389610389
42,0.03385561676178542,0.7376458333333333,0.7918630952380953,0.6834285714285715
44,0.029216363586278424,0.7394279250841751,0.7935052008177008,0.6853506493506494
46,0.02977957766658316,0.7342743055555556,0.7919771825396825,0.6765714285714286
48,0.02985231096843361,0.7341778198653199,0.7910309644059645,0.6773246753246753
50,0.025462104971261904,0.7336171085858585,0.7886108405483405,0.6786233766233766
52,0.02343863228452392,0.7301604587542088,0.784710527898028,0.6756103896103896
54,0.019835518863854103,0.7469510732323232,0.7999800685425686,0.6939220779220779
56,0.01912070003001847,0.7400344065656566,0.7935753066378065,0.6864935064935065
58,0.016907192546770804,0.7409464436026936,0.7885422378547379,0.6933506493506494
