WEIGHT,dev,factorial,phone,yue,MIN,MEAN
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0017142857142856682,0.0030000000000000027,0.0,0.0,0.0011785714285714177
0.05,0.0,0.0017142857142856682,0.009000000000000008,0.0,0.0,0.002678571428571419
0.075,-0.0017142857142856682,0.0,0.012749999999999928,0.0,-0.0017142857142856682,0.002758928571428565
0.1,0.0,0.0034285714285713365,0.015000000000000013,0.0,0.0,0.0046071428571428374
0.125,0.0034285714285714475,0.0017142857142856682,0.017249999999999988,0.0,0.0,0.005598214285714276
0.15,0.0034285714285714475,0.0017142857142856682,0.018749999999999933,0.0,0.0,0.005973214285714262
0.2,0.006857142857142895,0.0,0.027000000000000024,0.0,0.0,0.00846428571428573
0.25,0.008571428571428563,0.005142857142857116,0.03300000000000003,0.0,0.0,0.011678571428571427
0.3,0.015428571428571458,0.006857142857142784,0.03674999999999995,0.004838709677419284,0.004838709677419284,0.01596860599078337
0.35,0.015428571428571458,0.010285714285714231,0.04125000000000001,0.009677419354838679,0.009677419354838679,0.019160426267281094
0.4,0.018857142857142906,0.010285714285714231,0.042749999999999955,0.009677419354838679,0.009677419354838679,0.020392569124423943
0.5,0.02400000000000002,0.0119999999999999,0.05025000000000002,0.009677419354838679,0.009677419354838679,0.023981854838709654
