EPOCH,LOSS,GROUP_DRO,CHANNEL_KL,SELECTION
0,0.814592719078064,0.7560906410217285,0.006063437554985285,0.4621768707482993
5,0.6412924528121948,0.5130665898323059,0.011924071237444878,0.5195450680272109
10,0.6177847385406494,0.4951396882534027,0.006768370978534222,0.563826530612245
15,0.6011573672294617,0.4732280671596527,0.008373193442821503,0.5701232993197279
20,0.5874715447425842,0.4634133279323578,0.009361607022583485,0.5808418367346939
25,0.574667751789093,0.44869327545166016,0.012519558891654015,0.5846811224489796
30,0.5600550174713135,0.43541261553764343,0.018093915656208992,0.5952636054421769
35,0.5457099676132202,0.4196528494358063,0.02203867770731449,0.6013562925170068
40,0.5322625041007996,0.40704545378685,0.028723450377583504,0.6108248299319727
45,0.5163193345069885,0.3918212056159973,0.037009768187999725,0.6235926870748298
50,0.4948195815086365,0.3677240312099457,0.04329122230410576,0.6365816326530613
55,0.47857892513275146,0.35070323944091797,0.05300559848546982,0.650531462585034
60,0.4664631187915802,0.3389471173286438,0.059981875121593475,0.6545110544217687
65,0.448469877243042,0.3190551698207855,0.06428683549165726,0.6536947278911565
70,0.43579086661338806,0.30403366684913635,0.07522115856409073,0.6579124149659864
75,0.4251711964607239,0.2928178906440735,0.07860074192285538,0.6632440476190475
80,0.4173493981361389,0.2835407257080078,0.08337239176034927,0.6690773809523809
85,0.4083651900291443,0.274184912443161,0.09018073976039886,0.6633801020408163
90,0.4264114499092102,0.2988682687282562,0.08186569809913635,0.662389455782313
95,0.41161254048347473,0.2779083251953125,0.08561142534017563,0.6688988095238095
100,0.4058704674243927,0.26736411452293396,0.08708293735980988,0.6680059523809524
105,0.39299094676971436,0.25770923495292664,0.08650392293930054,0.6738010204081633
110,0.3780933916568756,0.24039974808692932,0.09183578938245773,0.6698044217687075
115,0.37430235743522644,0.23386144638061523,0.09172962605953217,0.6769770408163265
120,0.36629441380500793,0.22683219611644745,0.0912923812866211,0.673890306122449
125,0.35373467206954956,0.21403741836547852,0.09246678650379181,0.683656462585034
130,0.3528951108455658,0.21591691672801971,0.0931708887219429,0.6790731292517007
135,0.3427666127681732,0.2014150619506836,0.09568021446466446,0.6775127551020408
140,0.34846073389053345,0.21702109277248383,0.09491275250911713,0.6839455782312925
145,0.3233976662158966,0.18428783118724823,0.09501657634973526,0.6867134353741497
150,0.3390151560306549,0.20091095566749573,0.09912901371717453,0.6890858843537415
