DATASET,N,MUSIC_EER
factorial_eval_1200_v2,1200,0.23428571428571432
phone_factorial_1200_v1,1200,0.20499999999999996
yue_cross_component_audit_v1,124,0.11290322580645162
suno_vocals_v1,13,
