EPOCH,LOSS,BASE_LOSS,CONSISTENCY_LOSS,SELECTION,MEAN_MUSIC_EER,WORST_MUSIC_EER
0,0.7241339683532715,0.7164040803909302,0.15459765493869781,0.458890306122449,0.507219387755102,0.575
5,2.2718098163604736,2.119905471801758,3.0380868911743164,0.5269897959183674,0.4460204081632653,0.5
10,1.7786294221878052,1.5531014204025269,4.510560512542725,0.5116836734693877,0.47538265306122446,0.50125
15,1.1154347658157349,1.0418219566345215,1.4722568988800049,0.5336734693877552,0.4326530612244898,0.5
20,0.9674200415611267,0.8599616885185242,2.14916729927063,0.5281122448979592,0.4425255102040816,0.50125
25,0.7304868698120117,0.6841708421707153,0.92631995677948,0.5352551020408163,0.4288647959183673,0.500625
30,0.6835408806800842,0.6288375854492188,1.09406578540802,0.5403061224489796,0.4187627551020408,0.500625
35,0.6408669352531433,0.596930205821991,0.8787346482276917,0.5339795918367347,0.43079081632653055,0.50125
40,0.6449042558670044,0.60263991355896,0.8452868461608887,0.5375510204081633,0.4242729591836734,0.500625
45,0.6556487083435059,0.6062745451927185,0.9874832630157471,0.534438775510204,0.4298724489795918,0.50125
50,0.6422266960144043,0.6024487614631653,0.7955589890480042,0.538061224489796,0.42262755102040817,0.50125
55,0.6199398636817932,0.5822064280509949,0.7546692490577698,0.5371938775510204,0.42436224489795915,0.50125
60,0.6158542633056641,0.5807471871376038,0.7021417617797852,0.5357142857142858,0.4273214285714285,0.50125
65,0.615064799785614,0.583732008934021,0.6266561150550842,0.5375000000000001,0.42374999999999996,0.50125
70,0.607296884059906,0.5777304768562317,0.5913276672363281,0.5382653061224489,0.42221938775510204,0.50125
75,0.6066529750823975,0.5779603123664856,0.5738526582717896,0.5362755102040817,0.4261989795918367,0.50125
80,0.6028533577919006,0.5768242478370667,0.5205819606781006,0.5366836734693878,0.42538265306122447,0.50125
85,0.6018369793891907,0.5773077011108398,0.49058544635772705,0.5379081632653062,0.42293367346938776,0.50125
90,0.5997446179389954,0.5761333703994751,0.4722251892089844,0.5381122448979592,0.4225255102040816,0.50125
95,0.5985120534896851,0.5754415988922119,0.46140938997268677,0.5369897959183674,0.4247704081632652,0.50125
100,0.5974534153938293,0.5749291181564331,0.45048585534095764,0.5365816326530612,0.4255867346938775,0.50125
105,0.5963172316551208,0.5743248462677002,0.4398479461669922,0.5365816326530612,0.4255867346938775,0.50125
110,0.5953333973884583,0.5737174153327942,0.4323197305202484,0.5369387755102041,0.4248724489795918,0.50125
115,0.5944656729698181,0.5731017589569092,0.4272784888744354,0.5375000000000001,0.42374999999999996,0.50125
120,0.5936464071273804,0.5724813342094421,0.4233017861843109,0.5376530612244899,0.4234438775510204,0.50125
125,0.5928648114204407,0.571864128112793,0.4200136661529541,0.5374489795918368,0.4238520408163265,0.50125
130,0.5921250581741333,0.571253776550293,0.4174257218837738,0.5378571428571428,0.42303571428571424,0.50125
