FILE_W,VOICE_W,dev_FILE_EER,dev_VOICE_EER,dev_ADS,factorial_FILE_EER,factorial_VOICE_EER,factorial_ADS,phone_FILE_EER,phone_VOICE_EER,phone_ADS,yue_FILE_EER,yue_VOICE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA,DEV_THEN_AUDIT_RANK
0.05,0.0,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.20763636363636362,0.19999999999999998,0.7944675324675325,0.1382857142857143,0.14749999999999996,0.8601071428571427,0.09578804347826086,0.10208333333333333,0.8881409244974288,0.0,0.0,0.005857142857142783,0.0,0.0,0.0019523809523809277,10001.0
0.0,0.0,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.20763636363636362,0.19999999999999998,0.7944675324675325,0.15000000000000002,0.14749999999999996,0.85425,0.09578804347826086,0.10208333333333333,0.8881409244974288,0.0,0.0,0.0,0.0,0.0,0.0,10001.0
0.05,0.2,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.20763636363636362,0.21714285714285717,0.791038961038961,0.1382857142857143,0.10999999999999999,0.8676071428571428,0.09578804347826086,0.12916666666666665,0.882724257830762,0.0,-0.0034285714285715585,0.013357142857142845,-0.005416666666666736,-0.005416666666666736,0.0015039682539681836,10020.0
0.0,0.2,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.20763636363636362,0.21714285714285717,0.791038961038961,0.15000000000000002,0.10999999999999999,0.86175,0.09578804347826086,0.12916666666666665,0.882724257830762,0.0,-0.0034285714285715585,0.007500000000000062,-0.005416666666666736,-0.005416666666666736,-0.00044841269841274417,10020.0
0.05,0.25,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.20763636363636362,0.22857142857142854,0.7887532467532468,0.1382857142857143,0.10750000000000001,0.8681071428571427,0.09578804347826086,0.12916666666666665,0.882724257830762,0.0,-0.005714285714285783,0.01385714285714279,-0.005416666666666736,-0.005714285714285783,0.0009087301587300903,10034.0
0.0,0.25,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.20763636363636362,0.22857142857142854,0.7887532467532468,0.15000000000000002,0.10750000000000001,0.86225,0.09578804347826086,0.12916666666666665,0.882724257830762,0.0,-0.005714285714285783,0.008000000000000007,-0.005416666666666736,-0.005714285714285783,-0.0010436507936508372,10034.0
0.2,0.0,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.21527272727272728,0.19999999999999998,0.7906493506493506,0.11828571428571427,0.14749999999999996,0.8701071428571427,0.12771739130434784,0.10208333333333333,0.8721762505843852,0.0,-0.0038181818181819427,0.015857142857142792,-0.01596467391304357,-0.01596467391304357,-0.0013085709580275735,10064.0
0.2,0.2,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.21527272727272728,0.21714285714285717,0.7872207792207793,0.11828571428571427,0.10999999999999999,0.8776071428571428,0.12771739130434784,0.12916666666666665,0.8667595839177186,0.0,-0.007246753246753279,0.023357142857142854,-0.021381340579710195,-0.021381340579710195,-0.0017569836564402068,10069.0
0.2,0.25,0.20763636363636362,0.26857142857142857,0.7876103896103896,0.21527272727272728,0.22857142857142854,0.7849350649350648,0.11828571428571427,0.10750000000000001,0.8781071428571428,0.12771739130434784,0.12916666666666665,0.8667595839177186,0.0,-0.009532467532467725,0.0238571428571428,-0.021381340579710195,-0.021381340579710195,-0.002352221751678374,10069.0
0.05,0.025,0.20763636363636362,0.27428571428571424,0.7864675324675324,0.20763636363636362,0.2114285714285714,0.7921818181818181,0.1382857142857143,0.14749999999999996,0.8601071428571427,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.0011428571428572232,-0.0022857142857144463,0.005857142857142783,0.0,-0.0022857142857144463,0.0011904761904761123,100008.0
