DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial_eval_1200_v2,1200,1200,1050,1050,0.27175757575757575,0.3123809523809524,0.2380952380952381,0.9577269841269842,0.9594222222222223,0.7302164502164502,0.9585746031746032,0.7530522655122656
phone_factorial_1200_v1,1200,1200,800,800,0.15000000000000002,0.20750000000000002,0.16000000000000003,0.997003125,0.992571875,0.8355,0.9947874999999999,0.85142875
yue_cross_component_audit_v1,124,124,108,124,0.19157608695652173,0.2958333333333334,0.16129032258064513,0.9728009259259258,,0.7966581930808789,,
suno_vocals_v1,13,13,13,13,,,,,,,,
