ROUTE,FILE_NONPHONE_W,FILE_PHONE_W,VOICE_NONPHONE_W,VOICE_PHONE_W,dev,factorial,phone,yue,factorial_plus_phone,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,factorial_plus_phone_DELTA,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
hard,0.1,0.3,0.05,0.15,0.7849350649350649,0.7834025974025973,0.8707499999999999,0.8918909244974288,0.8393123745819399,0.005870129870129914,0.0031948051948051948,0.0035714285714285587,0.025131340579710226,-0.0022648829431438644,0.0031948051948051948,0.009441926054018474
hard,0.15,0.3,0.05,0.15,0.7849350649350649,0.7834025974025973,0.8707499999999999,0.8918909244974288,0.8386559643255296,0.005870129870129914,0.0031948051948051948,0.0035714285714285587,0.025131340579710226,-0.0029212931995541425,0.0031948051948051948,0.009441926054018474
soft,0.1,0.3,0.05,0.15,0.7849350649350649,0.7834025974025973,0.8707499999999999,0.8918909244974288,0.8393123745819399,0.005870129870129914,0.0031948051948051948,0.0035714285714285587,0.025131340579710226,-0.0022648829431438644,0.0031948051948051948,0.009441926054018474
soft,0.15,0.3,0.05,0.15,0.7849350649350649,0.7834025974025973,0.8707499999999999,0.8918909244974288,0.8393123745819399,0.005870129870129914,0.0031948051948051948,0.0035714285714285587,0.025131340579710226,-0.0022648829431438644,0.0031948051948051948,0.009441926054018474
hard,0.1,0.3,0.25,0.15,0.7837922077922077,0.7834025974025973,0.8707499999999999,0.882724257830762,0.8386167224080268,0.004727272727272691,0.0031948051948051948,0.0035714285714285587,0.01596467391304346,-0.0029605351170569616,0.0031948051948051948,0.006864545101637476
hard,0.15,0.3,0.25,0.15,0.7837922077922077,0.7834025974025973,0.8707499999999999,0.882724257830762,0.8379603121516166,0.004727272727272691,0.0031948051948051948,0.0035714285714285587,0.01596467391304346,-0.0036169453734671286,0.0031948051948051948,0.006864545101637476
soft,0.1,0.3,0.25,0.15,0.7837922077922077,0.7834025974025973,0.8707499999999999,0.882724257830762,0.8386167224080268,0.004727272727272691,0.0031948051948051948,0.0035714285714285587,0.01596467391304346,-0.0029605351170569616,0.0031948051948051948,0.006864545101637476
soft,0.15,0.3,0.25,0.15,0.7837922077922077,0.7834025974025973,0.8707499999999999,0.882724257830762,0.8386167224080268,0.004727272727272691,0.0031948051948051948,0.0035714285714285587,0.01596467391304346,-0.0029605351170569616,0.0031948051948051948,0.006864545101637476
hard,0.1,0.3,0.3,0.275,0.7826493506493506,0.7834025974025973,0.8747499999999999,0.8789742578307621,0.8403558528428094,0.003584415584415579,0.0031948051948051948,0.007571428571428562,0.012214673913043539,-0.0012214046822742741,0.0031948051948051948,0.006641330815923219
hard,0.15,0.3,0.3,0.275,0.7826493506493506,0.7834025974025973,0.8747499999999999,0.8789742578307621,0.8396994425863992,0.003584415584415579,0.0031948051948051948,0.007571428571428562,0.012214673913043539,-0.0018778149386845522,0.0031948051948051948,0.006641330815923219
soft,0.1,0.3,0.3,0.275,0.7826493506493506,0.7834025974025973,0.8747499999999999,0.8789742578307621,0.8403558528428094,0.003584415584415579,0.0031948051948051948,0.007571428571428562,0.012214673913043539,-0.0012214046822742741,0.0031948051948051948,0.006641330815923219
soft,0.15,0.3,0.3,0.275,0.7826493506493506,0.7834025974025973,0.8747499999999999,0.8789742578307621,0.8403558528428094,0.003584415584415579,0.0031948051948051948,0.007571428571428562,0.012214673913043539,-0.0012214046822742741,0.0031948051948051948,0.006641330815923219
hard,0.1,0.3,0.3,0.25,0.7826493506493506,0.7834025974025973,0.87425,0.8789742578307621,0.840008026755853,0.003584415584415579,0.0031948051948051948,0.007071428571428617,0.012214673913043539,-0.0015692307692307672,0.0031948051948051948,0.0065163308159232325
hard,0.15,0.3,0.3,0.25,0.7826493506493506,0.7834025974025973,0.87425,0.8789742578307621,0.8393516164994426,0.003584415584415579,0.0031948051948051948,0.007071428571428617,0.012214673913043539,-0.0022256410256411563,0.0031948051948051948,0.0065163308159232325
soft,0.1,0.3,0.3,0.25,0.7826493506493506,0.7834025974025973,0.87425,0.8789742578307621,0.840008026755853,0.003584415584415579,0.0031948051948051948,0.007071428571428617,0.012214673913043539,-0.0015692307692307672,0.0031948051948051948,0.0065163308159232325
soft,0.15,0.3,0.3,0.25,0.7826493506493506,0.7834025974025973,0.87425,0.8789742578307621,0.840008026755853,0.003584415584415579,0.0031948051948051948,0.007071428571428617,0.012214673913043539,-0.0015692307692307672,0.0031948051948051948,0.0065163308159232325
hard,0.15,0.275,0.225,0.3,0.7837922077922077,0.7840259740259741,0.87025,0.882724257830762,0.8416164994425864,0.004727272727272691,0.0038181818181819427,0.003071428571428614,0.01596467391304346,3.924191750270811e-05,0.003071428571428614,0.006895389257481677
