DATASET,HEAD,TARGET,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,seed09,FILE,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed09,FILE,0.01,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed09,FILE,0.025,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed09,FILE,0.05,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed09,FILE,0.075,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed09,FILE,0.1,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed09,FILE,0.15,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed09,FILE,0.2,400,400,350,350,0.20945454545454545,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7832727272727272,0.9947428571428572,0.8044197402597403
dev,seed09,VOICE,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed09,VOICE,0.01,400,400,350,350,0.21709090909090906,0.28,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7805974025974026,0.9947428571428572,0.8020119480519481
dev,seed09,VOICE,0.025,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed09,VOICE,0.05,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed09,VOICE,0.075,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed09,VOICE,0.1,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed09,VOICE,0.15,400,400,350,350,0.21709090909090906,0.28,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7805974025974026,0.9947428571428572,0.8020119480519481
dev,seed09,VOICE,0.2,400,400,350,350,0.21709090909090906,0.27428571428571424,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7817402597402597,0.9947428571428572,0.8030405194805195
