HEAD,AXIS,ROUTE,W,DATASET,PHONE_N,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
s09,F,global,0.01,dev,67,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,F,global,0.01,factorial,67,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
s09,F,global,0.01,phone,1200,1200,1200,800,800,0.1675714285714286,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8414642857142858,0.9703312500000001,0.8543509821428573
s09,F,global,0.01,yue,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,F,global,0.01,combined,1267,1600,1600,1150,1150,0.18065641025641022,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.823758751393534,0.9742396135265701,0.8388068376068376
s09,F,global,0.025,dev,67,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,F,global,0.025,factorial,67,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
s09,F,global,0.025,phone,1200,1200,1200,800,800,0.16585714285714287,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8423214285714284,0.9703312500000001,0.8551224107142856
s09,F,global,0.025,yue,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,F,global,0.025,combined,1267,1600,1600,1150,1150,0.17934358974358977,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8244151616499442,0.9742396135265701,0.8393976068376068
s09,F,global,0.05,dev,67,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,F,global,0.05,factorial,67,400,400,350,350,0.21527272727272728,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7860779220779222,0.9958571428571428,0.8070558441558442
s09,F,global,0.05,phone,1200,1200,1200,800,800,0.16414285714285715,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8431785714285713,0.9703312500000001,0.8558938392857143
s09,F,global,0.05,yue,0,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,F,global,0.05,combined,1267,1600,1600,1150,1150,0.17751794871794868,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8253279821627648,0.9742396135265701,0.8402191452991454
s09,F,global,0.075,dev,67,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,F,global,0.075,factorial,67,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
s09,F,global,0.075,phone,1200,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8443928571428572,0.9703312500000001,0.8569866964285715
s09,F,global,0.075,yue,0,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,F,global,0.075,combined,1267,1600,1600,1150,1150,0.17255384615384614,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8278100334448161,0.9742396135265701,0.8424529914529915
s09,F,global,0.1,dev,67,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,F,global,0.1,factorial,67,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
s09,F,global,0.1,phone,1200,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8443928571428572,0.9703312500000001,0.8569866964285715
s09,F,global,0.1,yue,0,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,F,global,0.1,combined,1267,1600,1600,1150,1150,0.1699282051282051,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8291228539576365,0.9742396135265701,0.8436345299145298
s09,F,global,0.15,dev,67,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,F,global,0.15,factorial,67,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
s09,F,global,0.15,phone,1200,1200,1200,800,800,0.1582857142857143,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8461071428571427,0.9703312500000001,0.8585295535714286
s09,F,global,0.15,yue,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,F,global,0.15,combined,1267,1600,1600,1150,1150,0.16810256410256413,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.830035674470457,0.9742396135265701,0.8444560683760682
s09,F,global,0.2,dev,67,400,400,350,350,0.20945454545454545,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7832727272727272,0.9947428571428572,0.8044197402597403
s09,F,global,0.2,factorial,67,400,400,350,350,0.2229090909090909,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7822597402597402,0.9958571428571428,0.8036194805194805
s09,F,global,0.2,phone,1200,1200,1200,800,800,0.15414285714285714,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8481785714285714,0.9703312500000001,0.8603938392857143
s09,F,global,0.2,yue,0,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,F,global,0.2,combined,1267,1600,1600,1150,1150,0.16810256410256413,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.830035674470457,0.9742396135265701,0.8444560683760682
s09,F,global,0.3,dev,67,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,F,global,0.3,factorial,67,400,400,350,350,0.1981818181818182,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7946233766233766,0.9958571428571428,0.8147467532467532
