MODEL,N,FILE_N,FILE_EER,VOICE_N,VOICE_EER,MUSIC_N,MUSIC_EER,VOICE_PRESENCE_AUC,MUSIC_PRESENCE_AUC,ADS,CPS,CPS_DEFINED,TOTAL
v47,360,360,0.2574074074074074,360,0.34444444444444444,360,0.24444444444444446,,,0.7290740740740741,,False,
v48,360,360,0.2759259259259259,360,0.31666666666666665,360,0.24444444444444446,,,0.7253703703703704,,False,
