MODEL,CHANNEL,TASK,PARENTS,POSITIVE_PARENTS,NEGATIVE_PARENTS,PAIRS,CLEAN_EER,CHANNEL_EER,CLEAN_PAIR_ERROR,CHANNEL_PAIR_ERROR,CORRECT_TO_INCORRECT,INCORRECT_TO_CORRECT,CLEAN_TIES,CHANNEL_TIES,RANK_STATE_FLIPS,MEAN_SCORE_DELTA,MEAN_SIGNED_DELTA,MEAN_PAIR_MARGIN_DELTA
v47,g711_ulaw,FILE,72,54,18,972,0.2222222222222222,0.2777777777777778,0.12448559670781889,0.20781893004115226,110,29,0,0,139,-0.10644073276805556,-0.05483083209861111,-0.004294575238888887
v47,g711_ulaw,VOICE,72,36,36,1296,0.2777777777777778,0.25,0.1929012345679012,0.21913580246913578,129,95,0,0,224,-0.003225112477777781,-0.028946522749999988,-0.05789304549999999
v47,g711_ulaw,MUSIC,72,36,36,1296,0.13888888888888887,0.3055555555555556,0.08024691358024694,0.21450617283950613,194,20,0,0,214,-0.21306547882916665,-0.08248399540972222,-0.16496799081944444
v47,g722_wb,FILE,72,54,18,972,0.2222222222222222,0.26851851851851855,0.12448559670781889,0.1635802469135802,47,9,0,0,56,-0.010712678112499992,-0.02195476790138888,-0.04426247692037036
v47,g722_wb,VOICE,72,36,36,1296,0.2777777777777778,0.25,0.1929012345679012,0.18904320987654322,41,46,0,0,87,0.011575273876388886,-0.00600152946805555,-0.0120030589361111
v47,g722_wb,MUSIC,72,36,36,1296,0.13888888888888887,0.25,0.08024691358024694,0.1473765432098766,95,8,0,0,103,-0.06752799098055556,-0.040169946133333335,-0.08033989226666666
v47,opus_nb_8k,FILE,72,54,18,972,0.2222222222222222,0.33333333333333337,0.12448559670781889,0.21604938271604934,151,62,0,0,213,-0.04734972675694444,-0.0545558551736111,-0.08234931145370368
v47,opus_nb_8k,VOICE,72,36,36,1296,0.2777777777777778,0.4722222222222222,0.1929012345679012,0.44367283950617287,429,104,0,0,533,0.11401190895277777,-0.12762026986666666,-0.2552405397333333
v47,opus_nb_8k,MUSIC,72,36,36,1296,0.13888888888888887,0.2777777777777778,0.08024691358024694,0.2314814814814815,204,8,0,0,212,-0.12616406553749998,-0.12111982535694442,-0.2422396507138889
v47,transcode_g711_opus,FILE,72,54,18,972,0.2222222222222222,0.2777777777777778,0.12448559670781889,0.24279835390946503,162,47,0,0,209,-0.03839665363611111,-0.059884827319444445,-0.10849733467037039
v47,transcode_g711_opus,VOICE,72,36,36,1296,0.2777777777777778,0.38888888888888884,0.1929012345679012,0.37268518518518523,342,109,0,0,451,0.1065514303486111,-0.11250592088472221,-0.22501184176944447
v47,transcode_g711_opus,MUSIC,72,36,36,1296,0.13888888888888887,0.2777777777777778,0.08024691358024694,0.20293209876543206,175,16,0,0,191,-0.13061597111944442,-0.11342250070277776,-0.22684500140555558
v48,g711_ulaw,FILE,72,54,18,972,0.2222222222222222,0.28703703703703703,0.12654320987654322,0.2129629629629629,122,38,0,0,160,-0.11109325970416668,-0.059395277468055584,-0.010263060309259272
v48,g711_ulaw,VOICE,72,36,36,1296,0.2777777777777778,0.25,0.18904320987654322,0.21450617283950613,127,94,0,0,221,-0.005200856475000012,-0.02816455479444444,-0.056329109588888884
v48,g711_ulaw,MUSIC,72,36,36,1296,0.13888888888888887,0.3055555555555556,0.08024691358024694,0.21450617283950613,194,20,0,0,214,-0.21306547882916665,-0.08248399540972222,-0.16496799081944444
v48,g722_wb,FILE,72,54,18,972,0.2222222222222222,0.26851851851851855,0.12654320987654322,0.16666666666666663,50,11,0,0,61,-0.014700821668055555,-0.02148521714861111,-0.0376928168388889
v48,g722_wb,VOICE,72,36,36,1296,0.2777777777777778,0.25,0.18904320987654322,0.18518518518518523,39,44,0,0,83,0.010604982463888878,-0.005070854450000001,-0.010141708900000004
v48,g722_wb,MUSIC,72,36,36,1296,0.13888888888888887,0.25,0.08024691358024694,0.1473765432098766,95,8,0,0,103,-0.06752799098055556,-0.040169946133333335,-0.08033989226666666
v48,opus_nb_8k,FILE,72,54,18,972,0.2222222222222222,0.33333333333333337,0.12654320987654322,0.21810699588477367,154,65,0,0,219,-0.046171088408333345,-0.05251067868055556,-0.07846702527037037
v48,opus_nb_8k,VOICE,72,36,36,1296,0.2777777777777778,0.5,0.18904320987654322,0.42515432098765427,414,108,0,0,522,0.10575293857083334,-0.12154642912083334,-0.24309285824166668
v48,opus_nb_8k,MUSIC,72,36,36,1296,0.13888888888888887,0.2777777777777778,0.08024691358024694,0.2314814814814815,204,8,0,0,212,-0.12616406553749998,-0.12111982535694442,-0.2422396507138889
v48,transcode_g711_opus,FILE,72,54,18,972,0.2222222222222222,0.2777777777777778,0.12654320987654322,0.2407407407407407,161,50,0,0,211,-0.04205507843194444,-0.05813459218472223,-0.09895214125
v48,transcode_g711_opus,VOICE,72,36,36,1296,0.2777777777777778,0.36111111111111116,0.18904320987654322,0.3603395061728395,334,112,0,0,446,0.10006720333750001,-0.10732977947638887,-0.21465955895277777
v48,transcode_g711_opus,MUSIC,72,36,36,1296,0.13888888888888887,0.2777777777777778,0.08024691358024694,0.20293209876543206,175,16,0,0,191,-0.13061597111944442,-0.11342250070277776,-0.22684500140555558
