DATASET,MUSIC_WEIGHT,FILE_RATIO,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,0.0,0.0,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.0,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.21714285714285717,0.9962285714285715,0.993257142857143,0.7653506493506494,0.9947428571428572,0.7882898701298703
dev,0.1,0.0,400,400,350,350,0.2229090909090909,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7696883116883118,0.9947428571428572,0.7921937662337664
dev,0.1,0.5,400,400,350,350,0.21709090909090906,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7725974025974027,0.9947428571428572,0.7948119480519482
dev,0.2,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7743116883116884,0.9947428571428572,0.7963548051948053
dev,0.2,0.5,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7743116883116884,0.9947428571428572,0.7963548051948053
dev,0.3,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7760259740259741,0.9947428571428572,0.7978976623376625
dev,0.3,0.5,400,400,350,350,0.21527272727272728,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.776935064935065,0.9947428571428572,0.7987158441558443
dev,0.4,0.0,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,0.4,0.5,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
